"","JOURNAL","YEAR","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","INST","UNIT","CITY","STATE","COUNTRY","check"
"89","CONBIO",1999,2066,"Ken","N","Paige","University of Illinois",NA,"Urbana-Champaign","Illinois","USA","2x"
"90","CONBIO",1999,2571,"Melanie","IJ","Stiassny","American Museum of Natural History",NA,"New York City","New York","USA","2x"
"91","CONBIO",1999,584,"Christopher",NA,"Uhl","Pennsylvania State University",NA,"State College","Pennsylvania","USA","2x"
"92","CONBIO",1999,3243,"Robin","S","Waples","National Marine Fisheries Service",NA,NA,NA,"USA","2x"
"93","CONBIO",2000,3855,"C","Ronald","Carroll","University of Georgia",NA,"Athens","Georgia","USA","2x"
"94","CONBIO",2000,2805,"Peggy","L","Fiedler","San Francisco State University",NA,"San Francisco","California","USA","2x"
"95","CONBIO",2000,342,"Bob",NA,"Pressey","New South Wales National Parks and Wildlife Service",NA,NA,"New South Wales","Australia","2x"
"96","CONBIO",2000,562,"Callum",NA,"Roberts","University of York",NA,"York","England","UK","2x"
"97","CONBIO",2000,2613,"Mary","F","Willson","The Nature Conservancy",NA,"Arlington","Virginia","USA","2x"
"98","CONBIO",2001,2756,"Paul","L","Angermeier","Virginia Tech",NA,"Blacksburg","Virginia","USA","2x"
"99","CONBIO",2001,1503,"Juan","Carlos","Castilla","Pontificia Universidad Catolica de Chile",NA,NA,"Santiago","Chile","2x"
"100","CONBIO",2001,501,"Claire",NA,"Kremen","Stanford University",NA,"Stanford","California","USA","2x"
"101","CONBIO",2001,1347,"Hugh",NA,"Possingham","University of Queensland",NA,"Brisbane","Queensland","Australia","2x"
"102","CONBIO",2001,2548,"Michael",NA,"Samways","University of Natal",NA,"Pietermaritzburg","KwaZulu-Natal","South Africa","2x"
"103","CONBIO",2001,2593,"Marc-Andre",NA,"Villard","Universite de Moncton",NA,"Moncton","New Brunswick","Canada","spotcheck"
"104","CONBIO",2001,2613,"Mary","F","Willson","University of Alaska",NA,"Fairbanks","Alaska","USA","2x"
"105","CONBIO",2002,404,"Carol",NA,"Brewer","University of Montana",NA,"Missoula","Montana","USA","2x"
"106","CONBIO",2002,2805,"Peggy","L","Fiedler","L C Lee & Associates, Inc.",NA,"Alameda","California","USA","2x"
"107","CONBIO",2002,1720,"Julie",NA,"Lockwood","University of California, Santa Cruz",NA,"Santa Cruz","California","USA","2x"
"108","CONBIO",2002,1120,"Francis","E","Putz","University of Florida",NA,"Gainesville","Florida","USA","2x"
"109","CONBIO",2002,2091,"Kathryn","E","Sieving","University of Florida",NA,"Gainesville","Florida","USA","2x"
"110","CONBIO",2003,1150,"Gary","E","Belovsky","Notre Dame University",NA,"London","England","UK","2x"
"111","CONBIO",2003,1463,"Joel",NA,"Berger","Wildlife Conservation Society",NA,NA,NA,"USA","2x"
"112","CONBIO",2003,966,"Erica",NA,"Fleishman","Stanford University",NA,"Stanford","California","USA","2x"
"113","CONBIO",2003,501,"Claire",NA,"Kremen","Princeton University",NA,"Princeton","New Jersey","USA","2x"
"114","CONBIO",2003,3176,"Reed",NA,"Noss","University of Central Florida",NA,"Chuluota","Florida","USA","2x"
"115","CONBIO",2003,2548,"Michael",NA,"Samways","University of Stellenbosch",NA,"Stellenbosch","Western Cape","South Africa","2x"
"116","CONBIO",2004,2317,"Mark","A","Burgman","University of Melbourne",NA,"Melbourne","Victoria","Australia","2x"
"117","CONBIO",2004,449,"Carl",NA,"Folke","Stockholm University",NA,"Stockholm","Uppland","Sweden","2x"
"118","CONBIO",2004,2152,"Leah",NA,"Gerber","Arizona State University",NA,"Tempe","Arizona","USA","2x"
"119","CONBIO",2004,3769,"Brenda","C","McComb","US Environmental Protection Agency",NA,NA,NA,"USA","2x"
"120","CONBIO",2004,2693,"Navjot","S","Sodhi","National University of Singapore",NA,NA,NA,"Singapore","2x"
"121","CONBIO",2005,2969,"Resit",NA,"Akcakaya","Applied Biomathematics",NA,"East Setauket","New York","USA","2x"
"122","CONBIO",2005,2805,"Peggy","L","Fiedler","BBL, Inc.",NA,"Walnut Creek","California","USA","2x"
"123","CONBIO",2005,2192,"Linda",NA,"Laikre","Stockholm University",NA,"Stockholm","Uppland","Sweden","2x"
"124","CONBIO",2005,2465,"Michael",NA,"Mascia","World Wildlife Fund",NA,NA,NA,"USA","2x"
"125","CONBIO",2005,1110,"Florenza",NA,"Micheli","Stanford University",NA,"Stanford","California","USA","2x"
"126","CONBIO",2006,1498,"J","Baird","Callicott","University of North Texas",NA,NA,NA,"USA","spotcheck"
"127","CONBIO",2006,2791,"Peter",NA,"Daszak","University of Nevada, Reno",NA,NA,NA,"USA","2x"
"128","CONBIO",2006,501,"Claire",NA,"Kremen","University of California, Berkeley",NA,"Berkeley","California","USA","2x"
"129","CONBIO",2006,1720,"Julie",NA,"Lockwood","Rutgers University",NA,"New Brunswick","New Jersey","USA","2x"
"130","CONBIO",2006,342,"Bob",NA,"Pressey","NoInst",NA,"Invergowric",NA,"Australia","2x"
"131","CONBIO",2007,3026,"Richard",NA,"Cowling","University of Port Elizabeth",NA,NA,NA,"South Africa","spotcheck"
"132","CONBIO",2007,2805,"Peggy","L","Fiedler","Entrix",NA,"Walnut Creek","California","USA","2x"
"133","CONBIO",2007,966,"Erica",NA,"Fleishman","National Center for Ecological Analysis and Synthesis",NA,"Santa Barbara","California","USA","2x"
"134","CONBIO",2007,342,"Bob",NA,"Pressey","University of Queensland",NA,"Brisbane","Queensland","Australia","2x"
"135","CONBIO",2008,38,"Avecita",NA,"Chicchon","Wildlife Conservation Society",NA,NA,NA,"USA","2x"
"136","CONBIO",2008,2805,"Peggy","L","Fiedler","WSP Environmental Strategies",NA,"Oakland","California","USA","2x"
"137","CONBIO",2008,449,"Carl",NA,"Folke","Beijer International Institute of Ecological Economics",NA,"Stockholm","Uppland","Sweden","2x"
"138","CONBIO",2008,342,"Bob",NA,"Pressey","James Cook University",NA,NA,"Queensland","Australia","2x"
"139","CONBIO",2009,2969,"Resit",NA,"Akcakaya","Stony Brook University",NA,"Stony Brook","New York","USA","2x"
"140","CONBIO",2010,1511,"Joshua",NA,"Cinner","James Cook University",NA,NA,"Queensland","Australia","2x"
"141","CONBIO",2010,3530,"Tracey","Morin","Dalton","University of Rhode Island",NA,NA,NA,"USA","spotcheck"
"142","CONBIO",2010,966,"Erica",NA,"Fleishman","University of California, Santa Barbara",NA,"Santa Barbara","California","USA","2x"
"143","CONBIO",2010,3079,"R","Edward","Grumbine","Prescott College",NA,"Prescott","Arizona","USA","2x"
"144","CONBIO",2010,2652,"Ned",NA,"Horning","American Museum of Natural History",NA,"New York City","New York","USA","2x"
"145","CONBIO",2010,1336,"Helene",NA,"Marsh","James Cook University",NA,NA,"Queensland","Australia","2x"
"146","CONBIO",2010,3598,"Tara",NA,"Martin","CSIRO",NA,NA,NA,"Australia","2x"
"147","CONBIO",2010,2468,"Michael","A","McCarthy","University of Melbourne",NA,"Melbourne","Victoria","Australia","2x"
"148","CONBIO",2010,3599,"Tim",NA,"McClanahan","Wildlife Conservation Society",NA,NA,NA,"USA","2x"
"149","CONBIO",2010,1790,"Julian",NA,"Olden","University of Washington",NA,"Seattle","Washington","USA","2x"
"150","CONBIO",2010,2543,"Murray",NA,"Rudd","University of York",NA,"York","England","UK","2x"
"151","CONBIO",2010,3509,"Steve",NA,"Zack","Wildlife Conservation Society",NA,NA,NA,"USA","2x"
"152","CONBIO",2011,1548,"Joshua",NA,"Drew","Field Museum of Natural History",NA,NA,NA,"USA","2x"
"153","CONBIO",2011,966,"Erica",NA,"Fleishman","University of California, Davis",NA,"Davis","California","USA","2x"
"154","CONBIO",2011,2163,"Lara",NA,"Hansen","EcoAdapt",NA,NA,NA,"USA","spotcheck"
"155","CONBIO",2011,2461,"Martin",NA,"Main","University of Florida",NA,"Gainesville","Florida","USA","2x"
"156","CONBIO",2011,528,"Curt",NA,"Meine","Center for Humans and Nature",NA,"Chicago","Illinois","USA","2x"
"157","CONBIO",2011,889,"David",NA,"Theobald","Colorado State University",NA,"Fort Colllins","Colorado","USA","2x"
"158","CONBIO",2011,1943,"James","EM","Watson","University of Queensland",NA,"Brisbane","Queensland","Australia","2x"
"159","CONBIO",2012,420,"Carla",NA,"Catterall","Griffith University",NA,"Brisbane","Queensland","Australia","2x"
"160","CONBIO",2012,3887,"J","Alan","Clark","Fordham University",NA,NA,NA,"USA","spotcheck"
"161","CONBIO",2012,2791,"Peter",NA,"Daszak","EcoHealth Alliance",NA,"New Yor City","New York","USA","2x"
"162","CONBIO",2012,2804,"Paul",NA,"Ferraro","Georgia State University",NA,NA,NA,"USA","spotcheck"
"163","CONBIO",2012,706,"Dale",NA,"Goble","University of Idaho",NA,"Moscow","Idaho","USA","2x"
"164","CONBIO",2012,2516,"Michelle",NA,"Pinard","University of Aberdeen",NA,NA,NA,"UK","spotcheck"
"165","CONBIO",2012,2073,"Kent","H","Redford","Archipelago Consulting",NA,"Portland","Maine","USA","2x"
"166","CONBIO",2012,2555,"Michael",NA,"Schwartz","USDA Forest Service",NA,NA,NA,"USA","2x"
"167","CONBIO",2013,6,"Amy",NA,"Ando","University of Illinois",NA,"Urbana-Champaign","Illinois","USA","2x"
"168","CONBIO",2013,1511,"Joshua",NA,"Cinner","Columbia University",NA,"Manhattan","New York","Australia","2x"
"169","CONBIO",2013,1339,"Hamish",NA,"McCallum","Griffith University",NA,"Brisbane","Queensland","Australia","2x"
"170","CONBIO",2013,2087,"Kathleen",NA,"Segerson","University of Connecticut",NA,"Storrs","Connecticut","USA","2x"
"171","CONBIO",2013,875,"Dale",NA,"Squires","National Marine Fisheries Service",NA,NA,NA,"USA","2x"
"172","CONBIO",2014,2320,"Mar",NA,"Cabeza","University of Helsinki",NA,NA,NA,"Finland","spotcheck"
"173","CONBIO",2014,417,"Carlos",NA,"Carroll","Klamath Center for Conservation Research",NA,"Orleans","California","USA","spotcheck"
"174","CONBIO",2014,3831,"Yung","En","Chee","University of Melbourne",NA,"Melbourne","Victoria","Australia","spotcheck"
"175","CONBIO",2014,3018,"Ryan",NA,"Chisholm","National University of Singapore",NA,NA,NA,"Singapore","2x"
"176","CONBIO",2014,1548,"Joshua",NA,"Drew","Columbia University",NA,"Manhattan","New York","USA","2x"
"177","CONBIO",2014,969,"Edward",NA,"Game","The Nature Conservancy",NA,"Arlington","Virginia","USA","2x"
"178","CONBIO",2014,1189,"Gurutzeta",NA,"Guillera-Arroita","University of Melbourne",NA,"Melbourne","Victoria","Australia","2x"
"179","CONBIO",2014,1197,"Geoff",NA,"Heard","University of Melbourne",NA,"Melbourne","Victoria","Australia","2x"
"180","CONBIO",2014,497,"Carissa",NA,"Klein","University of Queensland",NA,"Brisbane","Queensland","Australia","2x"
"181","CONBIO",2014,2450,"Mauricio",NA,"Lima","Pontificia Universidad Catolica de Chile",NA,NA,"Santiago","Chile","2x"
"182","CONBIO",2014,NA,"Adina",NA,"Merenlender","University of California, Berkeley",NA,"Berkeley","California","USA","2x"
"183","CONBIO",2014,1012,"Emily",NA,"Nicholson","University of Melbourne",NA,"Melbourne","Victoria","Australia","2x"
"184","CONBIO",2014,2088,"Kartik",NA,"Shanker","Indian Institue of Science",NA,"Bangalore","Karnataka","India","2x"
"185","CONBIO",2014,905,"David",NA,"Warton","University of Queensland",NA,"Brisbane","Queensland","Australia","2x"
