"JOURNAL","YEAR","VOLUME","ISSUE","TITLE","NAME","INST","COUNTRY"
"BITR",2004,36,1,"SE","R Uma Shaanker","University of Agricultural Science Bangalore","India"
"BITR",2005,37,1,"SE","Renee M Borges","Indian Inst Science Bangalore","India"
"BITR",2005,37,1,"SE","Priya Davidar","Pondicherry University","India"
"BITR",2005,37,1,"SE","R Uma Shaanker","University of Agricultural Science Bangalore","India"
"BITR",2006,38,1,"SE","Renee M Borges","Indian Inst Science Bangalore","India"
"BITR",2006,38,1,"SE","Priya Davidar","Pondicherry University","India"
"BITR",2007,39,1,"SE","Priya Davidar","Pondicherry University","India"
"BITR",2008,40,1,"SE","Priya Davidar","Pondicherry University","India"
"BITR",2009,41,1,"SE","Jagdish Krishnaswamy","Ashoka Trust for Research in Ecology and the Environment Bangalore","India"
"BITR",2010,42,1,"SE","Jagdish Krishnaswamy","Ashoka Trust for Research in Ecology and the Environment Bangalore","India"
"BITR",2011,43,1,"SE","Jagdish Krishnaswamy","Ashoka Trust for Research in Ecology and the Environment Bangalore","India"
"BITR",2005,37,1,"SE","Manuel Guariguata","CIFOR","Indonesia"
"BITR",2006,38,1,"SE","Manuel Guariguata","CIFOR","Indonesia"
"BITR",2007,39,1,"SE","Manuel Guariguata","CIFOR","Indonesia"
"BITR",2013,45,1,"SE","Matthew Linkie","Fauna and Flora International","Indonesia"
"BITR",2013,45,1,"SE","Erik Meijaard","People and Nature Consulting International Jakarta","Indonesia"
"BITR",2005,37,1,"SE","Shoko Sakai","Kyoto University","Japan"
"BITR",2006,38,1,"SE","Shoko Sakai","Kyoto University","Japan"
"BITR",2007,39,1,"SE","Shoko Sakai","Kyoto University","Japan"
"BITR",2008,40,1,"SE","Shoko Sakai","Kyoto University","Japan"
"BITR",2009,41,1,"SE","Shoko Sakai","Kyoto University","Japan"
"BITR",2011,43,1,"SE","Shoko Sakai","Kyoto University","Japan"
"BITR",2013,45,1,"SE","Shin-ichiro Aiba","Kagoshima University","Japan"
"BITR",2009,41,1,"SE","Erik Meijaard","The Nature Conservancy East Kalimantan","lndonesia"
"BITR",2010,42,1,"SE","Erik Meijaard","The Nature Conservancy East Kalimantan","lndonesia"
"BITR",2011,43,1,"SE","Erik Meijaard","The Nature Conservancy East Kalimantan","lndonesia"
"BITR",2012,44,1,"SE","Erik Meijaard","The Nature Conservancy East Kalimantan","lndonesia"
"BITR",1976,8,1,"AE","Carl H Ernst","George Masion University Virginia",""
"BITR",1977,9,1,"AE","Carl H Ernst","George Masion University Virginia",""
"BITR",1978,10,1,"AE","Carl H Ernst","George Masion University Virginia",""
"BITR",1979,11,1,"AE","Carl H Ernst","George Masion University Virginia",""
"BITR",1980,12,1,"AE","Carl H Ernst","George Masion University Virginia",""
"BITR",1981,13,1,"AE","Carl H Ernst","George Masion University Virginia",""
"BITR",1982,14,1,"AE","Carl H Ernst","George Masion University Virginia",""
"BITR",2008,40,1,"SE","Soon Leong Lee","Forest Research lnstitute Malaysia (FRIM)","Malaysia"
"BITR",2009,41,1,"SE","Soon Leong Lee","Forest Research lnstitute Malaysia (FRIM)","Malaysia"
"BITR",2010,42,1,"SE","Soon Leong Lee","Forest Research lnstitute Malaysia (FRIM)","Malaysia"
"BITR",2011,43,1,"SE","Soon Leong Lee","Forest Research lnstitute Malaysia (FRIM)","Malaysia"
"BITR",2012,44,1,"SE","Catherine Yule","Monash University","Malaysia"
"BITR",2013,45,1,"SE","Catherine Yule","Monash University","Malaysia"
"BITR",1999,31,1,"SE","Rodolfo Dirzo","UNAM","Mexico"
"BITR",2000,32,1,"SE","Rodolfo Dirzo","UNAM","Mexico"
"BITR",2001,33,1,"SE","Rodolfo Dirzo","UNAM","Mexico"
"BITR",2004,36,1,"SE","Mauricio Quesada","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2005,37,1,"SE","Mauricio Quesada","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2006,38,1,"SE","Diego Perez-Salicrup","National Autonomous University of Mexico UNAM","Mexico"
"BITR",2006,38,1,"SE","Mauricio Quesada","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2006,38,1,"SE","Kathy Stoner","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2007,39,1,"SE","Diego Perez-Salicrup","National Autonomous University of Mexico UNAM","Mexico"
