Column,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,Inst_Prior_Class,DATA
1802,ECOLOGY,1993,2702,Nickolas,M,Waser,University of California - Riverside,NA,Riverside,CA,USA,NA,USA
1803,ECOLOGY,1994,385,Carol,K,Augspurger,University of Illinois,NA,Champaign,IL,USA,NA,USA
1804,ECOLOGY,1994,983,E,A,Johnson,University of Calgary,NA,Calgary,AB,Canada,NA,Canada
1805,ECOLOGY,1994,3397,Svata,M,Louda,University of Nebraska,NA,Lincoln,NE,USA,NA,USA
1806,ECOLOGY,1994,1233,Gary,G,Mittelbach,Michigan State University,NA,East Lansing,MI,USA,NA,USA
1807,ECOLOGY,1994,870,David,C,Smith,Williams College,NA,Williamston,MA,USA,NA,USA
1808,ECOLOGY,1994,2694,Nancy,E,Stamp,Binghamton University- SUNY,NA,Binghamton,NY,USA,NA,USA
1809,ECOLOGY,1995,15,Arthur,,Benke,University of Alabama,NA,Tuscaloosa,AL,USA,NA,USA
1810,ECOLOGY,1995,3521,Ted,J,Case,University of California - San Diego,NA,La Jolla,CA,USA,NA,USA
1811,ECOLOGY,1995,3321,Stephen,P,Ellner,North Carolina State University,NA,Raleigh,NC,USA,NA,USA
1812,ECOLOGY,1995,1563,James,A,Estes,National Biological Survey,NA,Reston,VA,USA,NA,USA
1813,ECOLOGY,1995,2649,Nancy,B,Grimm,Arizona State University,NA,Tempe,AZ,USA,NA,USA
1814,ECOLOGY,1995,741,Douglas,H,Johnson,N.B.S. N. Prairie Wildlife Research Center,NA,Jamestown,ND,USA,NA,USA
1815,ECOLOGY,1995,3372,Steven,A,Juliano,Illinois State University,NA,Normal,IL,USA,NA,USA
1816,ECOLOGY,1995,3756,William,H,Karasov,University of Wisconsin-Madison,NA,Madison,WI,USA,NA,USA
1817,ECOLOGY,1995,1109,Frank,J,Messina,Utah State University,NA,Logan,UT,USA,NA,USA
1818,ECOLOGY,1995,3604,Thomas,E,Miller,Florida State University,NA,Tallahassee,FL,USA,NA,USA
1819,ECOLOGY,1995,2226,Leslie,A,Real,Indiana University,NA,Bloomington,IN,USA,NA,USA
1820,ECOLOGY,1995,2101,Kimberly,A,Sullivan,Utah State University,NA,Logan,UT,USA,NA,USA
1821,ECOLOGY,1995,226,Arthur,E,Weis,University of California- Irvine,NA,Irvine,CA,USA,NA,USA
1822,ECOLOGY,1996,3710,William,L,Baker,University of Wyoming,NA,Laramie,WY,USA,NA,USA
1823,ECOLOGY,1996,630,Dan,,Binkley,Colorado State University,NA,Fort Collins,CO,USA,NA,USA
1824,ECOLOGY,1996,1512,James,S,Clark,Duke University,NA,Durham,NC,USA,NA,USA
1825,ECOLOGY,1996,2788,Philip,H,Crowley,University of Kentucky,NA,Lexington,KY,USA,NA,USA
1826,ECOLOGY,1996,1296,Hans,,DeKroon,Wageningen Agricultural University,NA,Wageningen,Gelderland,Netherlands,NA,Netherlands
1827,ECOLOGY,1996,450,Carol,L,Folt,Dartmouth College,NA,Hanover,NH,USA,NA,USA
1828,ECOLOGY,1996,3369,Stephen,H,Jenkins,University of Nevada- Reno,NA,Reno,NV,USA,NA,USA
1829,ECOLOGY,1996,317,Brian,A,Maurer,Brigham Young University,NA,Provo,UT,USA,NA,USA
1830,ECOLOGY,1996,325,Bruce,,Menge,Oregon State University,NA,Corvallis,OR,USA,NA,USA
