Changes,DF,JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,INST2
row removed,1,AMNAT,2008,172,1,3160,Robert,NA,Montgomerie,Robert Montgomerie,Editorial.Board,SE,NA,NA,NA,NA,Canada,CAN,NA
row removed,1,AMNAT,2011,177,1,395,Craig,W,Benkman,Craig W Benkman,Natural.History.Editor,SPECIAL,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2013,181,1,876,Diane,S,Srivastava,Diane S Srivastava,Editorial.Board,SE,NA,NA,NA,NA,Canada,CAN,NA
row removed,1,AMNAT,2015,186,1,928,Elizabeth,NA,Adkins-Regan,Elizabeth Adkins-Regan,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,2754,Priyanga,NA,Amarasekare,Priyanga Amarasekare,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,387,Charles,F,Baer,Charles F Baer,Editorial.Board,SE,University of Florida,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,3663,Uta,NA,Berger,Uta Berger,Editorial.Board,SE,NA,NA,NA,NA,Germany,DEU,NA
row removed,1,AMNAT,2015,186,1,247,Benjamin,NA,Bolker,Benjamin Bolker,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,631,Daniel,I,Bolnick,Daniel I Bolnick,Editorial.Board,SE,University of Texas,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,2989,Russell,NA,Bonduriansky,Russell Bonduriansky,Editorial.Board,SE,NA,NA,NA,NA,Australiatralia,AUS,NA
row removed,1,AMNAT,2015,186,1,940,Edmund,D,Brodie,Edmund D Brodie,Editorial.Board,SE,University of Virginia,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,3305,Sean,R,Connolly,Sean R Connolly,Editorial.Board,SE,James Cook University,NA,NA,NA,Australiatralia,AUS,NA
row removed,1,AMNAT,2015,186,1,1169,Gregory,E,Demas,Gregory E Demas,Editorial.Board,SE,Indiana University,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,3044,Robert,NA,Dudley,Robert Dudley,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,1396,Ian,NA,Dworkin,Ian Dworkin,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,1171,Greg,NA,Dwyer,Greg Dwyer,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,440,Christopher,Green,Eckert,Christopher Green Eckert,Editorial.Board,SE,NA,NA,NA,NA,Canada,CAN,NA
row removed,1,AMNAT,2015,186,1,959,Elizabeth,NA,Elle,Elizabeth Elle,Editorial.Board,SE,NA,NA,NA,NA,Canada,CAN,NA
row removed,1,AMNAT,2015,186,1,1589,Jean-Michel,NA,Gaillard,Jean-Michel Gaillard,Editorial.Board,SE,NA,NA,NA,NA,France,FRA,NA
row removed,1,AMNAT,2015,186,1,2007,Kevin,J,Gaston,Kevin J Gaston,Editorial.Board,SE,University of Exeter,NA,NA,NA,UK,GBR,NA
row removed,1,AMNAT,2015,186,1,1610,Jurgen,NA,Groeneveld,Jurgen Groeneveld,Editorial.Board,SE,NA,NA,NA,NA,Germany,DEU,NA
row removed,1,AMNAT,2015,186,1,2011,Kevin,NA,Gross,Kevin Gross,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,3346,Spencer,R,Hall,Spencer R Hall,Editorial.Board,SE,Indiana University,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,2165,Lawrence,D,Harder,Lawrence D Harder,Editorial.Board,SE,University of Calgary,NA,NA,NA,Canada,CAN,NA
row removed,1,AMNAT,2015,186,1,2166,Luke,J,Harmon,Luke J Harmon,Editorial.Board,SE,University of Idaho,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,3351,Susan,NA,Harrison,Susan Harrison,Editorial.Board,SE,NA,NA,NA,NA,USA,USA,NA
row removed,1,AMNAT,2015,186,1,3356,Stephen,B,Heard,Stephen B Heard,Editorial.Board,SE,University of New Brunswick,NA,NA,NA,Canada,CAN,NA
row removed,1,AMNAT,2015,186,1,2427,Michael,NA,Kearney,Michael Kearney,Editorial.Board,SE,NA,NA,NA,NA,Australiatralia,AUS,NA
