,JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,FIRST_NAME.x,MIDDLE_NAME.x,LAST_NAME.x,COUNTRY.x,GENDER,CATEGORY,NOTES,editor_id,source.x,FIRST_NAME.y,MIDDLE_NAME.y,LAST_NAME.y,INST,UNIT,CITY,STATE,COUNTRY.y,source.y,double.check
5,AGRONOMY,2008,100,1,SE,Lucas Borras,Lucas,,Borras,Argentina,M,SE,NA,2130,ChoDryad,Lucas,NA,Borras,National University of Rosario,NA,Fort Lauderdale,Florida,USA,SciWri17,country
6,AGRONOMY,2009,101,1,SE,Lucas Borras,Lucas,,Borras,Argentina,M,SE,NA,2130,ChoDryad,Lucas,NA,Borras,National University of Rosario,NA,Fort Lauderdale,Florida,USA,SciWri17,country
7,AGRONOMY,2010,102,1,SE,Lucas Borras,Lucas,,Borras,Argentina,M,SE,NA,2130,ChoDryad,Lucas,NA,Borras,National University of Rosario,NA,Fort Lauderdale,Florida,USA,SciWri17,country
8,AGRONOMY,2011,103,1,SE,Lucas Borras,Lucas,,Borras,Argentina,M,SE,NA,2130,ChoDryad,Lucas,NA,Borras,National University of Rosario,NA,Fort Lauderdale,Florida,USA,SciWri17,country
9,AGRONOMY,2012,104,1,SE,Lucas Borras,Lucas,,Borras,Argentina,M,SE,NA,2130,ChoDryad,Lucas,NA,Borras,National University of Rosario,NA,Fort Lauderdale,Florida,USA,SciWri17,country
10,AGRONOMY,2013,105,1,SE,Lucas Borras,Lucas,,Borras,Argentina,M,SE,NA,2130,ChoDryad,Lucas,NA,Borras,National University of Rosario,NA,Fort Lauderdale,Florida,USA,SciWri17,country
114,JAPE,2015,52,1,Associate.Editor,Claudia Bieber,Claudia,,Bieber,Australia,NA,SE,,399,EspinDryad,Claudia,NA,Bieber,University of Veterinary Medicine,NA,NA,NA,Austria,SciWri17,country
142,PLANTECOL,2013,214,1,Editorial.Board,Christopher H Lusk,Christopher,H,Lusk,Australia,NA,SE,,515,EspinDryad,Christopher,H,Lusk,University of Waikato,NA,Hamilton,NA,New Zealand,SciWri17,country
61,JTE,1999,15,1,SE,Rene GA Boot,Rene,GA,Boot,Bolivia,M,SE,NA,2990,ChoDryad,Rene,GA,Boot,Tropenbos International,NA,NA,Wagen,Netherlands,SciWri17,country
63,JTE,2000,16,1,SE,Rene GA Boot,Rene,GA,Boot,Bolivia,M,SE,NA,2990,ChoDryad,Rene,GA,Boot,Tropenbos International,NA,NA,Wagen,Netherlands,SciWri17,country
115,JAPE,2015,52,1,Associate.Editor,Jin-tian Li,Jin-tian,,Li,Chile,NA,SE,,1712,EspinDryad,Jin-tian,NA,Li,Sun Yat Sen University,NA,NA,NA,China,SciWri17,country
118,LECO,2012,27,1,Editorial.Board,B Fu,B,,Fu,China,NA,SE,NA,275,EspinDryad,B,NA,Fu,Chinese Academy of Sciences,NA,Beijing,NA,P.R. China,SciWri17,country
119,LECO,2013,27,1,Editorial.Board,B Fu,B,,Fu,China,NA,SE,NA,275,EspinDryad,B,NA,Fu,Chinese Academy of Sciences,NA,Beijing,NA,P.R. China,SciWri17,country
120,LECO,2014,29,1,Editorial.Board,B Fu,B,,Fu,China,NA,SE,NA,275,EspinDryad,B,NA,Fu,Chinese Academy of Sciences,NA,Beijing,NA,P.R. China,SciWri17,country
71,AMNAT,2015,186,1,Editorial.Board,Vlastimil Krivan,Vlastimil,,Krivan,Czech Republic,NA,SE,NA,3690,EspinDryad,Vlastimil,NA,Krivan,NA,NA,NA,NA,Czech Republicch Republic,SciWri17,country
76,EVOL,2009,63,NA,AE,Sylvain Gandon,Sylvain,,Gandon,Finland,NA,SE,NA,3335,EspinDryad,Sylvain,NA,Gandon,CNRS Centre dEcologie Fonctionnelle et Evolutive,,Montpellier,Occitanie,France,SciWri17,country
77,EVOL,2010,64,NA,AE,Sylvain Gandon,Sylvain,,Gandon,Finland,NA,SE,NA,3335,EspinDryad,Sylvain,NA,Gandon,CNRS Centre dEcologie Fonctionnelle et Evolutive,,Montpellier,Occitanie,France,SciWri17,country
78,EVOL,2011,65,NA,AE,Sylvain Gandon,Sylvain,,Gandon,Finland,NA,SE,NA,3335,EspinDryad,Sylvain,NA,Gandon,CNRS Centre dEcologie Fonctionnelle et Evolutive,,Montpellier,Occitanie,France,SciWri17,country
116,JAPE,2015,52,1,Associate.Editor,Yann Clough,Yann,,Clough,Germany,NA,SE,,3833,EspinDryad,Yann,NA,Clough,CEC Lund,NA,NA,NA,Sweden,SciWri17,country
112,JAPE,2005,42,1,Editorial.Board,Robert J Paxton,Robert,J,Paxton,Germany,NA,SE,,3187,EspinDryad,Robert,J,Paxton,University of Tubingen,,Belfast,NA,United Kingdom,SciWri17,country
67,AGRONOMY,1985,77,1,Associate.Editor,P LG Vlek,P,LG,Vlek,Germany,NA,SE,,2947,EspinDryad,P,LG,Vlek,University of Bonn,Center of Development Research(ZEF),Bonn,NA,USA,SciWri17,country
85,FEM,1994,63,1,Editorial.Advisory.Board,Dennis P Dykstra,Dennis,P,Dykstra,Indonesia,NA,SE,NA,677,EspinDryad,Dennis,P,Dykstra,Food and Agriculture Organization,,Rome,NA,Italy,SciWri17,country
70,AGRONOMY,2014,106,1,AE,Saeid Soufizadeh,Saeid,,Soufizadeh,Iran,NA,SE,,3477,EspinDryad,Saeid,NA,Soufizadeh,Shahid Beheshti University,"Dep. of Agroecology, Environ. Sci. Res. Inst.",Tehran,NA,IRAN,SciWri17,country
36,BIOCON,2004,115,1,EB,AW Fabio Cassola,AW,Fabio,Cassola,Italy,M,SE,,34,ChoDryad,AW,Fabio,Cassola,NA,NA,NA,NA,ITALY,SciWri17,country
83,FEM,1993,56,1,Editorial.Advisory.Board,D Paul Dijkstra,D,Paul,Dijkstra,Italy,NA,SE,NA,669,EspinDryad,D,Paul,Dijkstra,Northern Arizona University,NA,Flagstaff,Arizona,USA,SciWri17,country
79,FEM,1989,27,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
80,FEM,1990,30,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
81,FEM,1991,40,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
82,FEM,1992,47,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
84,FEM,1993,56,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
86,FEM,1994,63,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
87,FEM,1995,71,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
88,FEM,1996,80,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
89,FEM,1997,90,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
90,FEM,1998,100,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
91,FEM,1999,113,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
92,FEM,2000,125,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
93,FEM,2001,140,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
18,CONBIO,2008,22,1,SE,Jon Paul Rodriguez,Jon,Paul,Rodriguez,Mexico,M,SE,NA,1839,ChoDryad,Jon,Paul,Rodriguez,Instituto Venezolano Investigaciones Cientificas,,Altos de Pipe,Miranda,Venezuela,SciWri17,country
19,CONBIO,2009,23,1,SE,Jon Paul Rodriguez,Jon,Paul,Rodriguez,Mexico,M,SE,NA,1839,ChoDryad,Jon,Paul,Rodriguez,NA,NA,NA,NA,Venezuela,SciWri17,country
20,CONBIO,2010,24,1,SE,Jon Paul Rodriguez,Jon,Paul,Rodriguez,Mexico,M,SE,NA,1839,ChoDryad,Jon,Paul,Rodriguez,NA,NA,NA,NA,Venezuela,SciWri17,country
21,CONBIO,2011,25,1,SE,Jon Paul Rodriguez,Jon,Paul,Rodriguez,Mexico,M,SE,NA,1839,ChoDryad,Jon,Paul,Rodriguez,NA,NA,NA,NA,Venezuela,SciWri17,country
22,CONBIO,2012,26,1,SE,Jon Paul Rodriguez,Jon,Paul,Rodriguez,Mexico,M,SE,NA,1839,ChoDryad,Jon,Paul,Rodriguez,NA,NA,NA,NA,Venezuela,SciWri17,country
38,JECOL,2005,93,1,SE,Marcel VanDerHeijden,Marcel,,VanDerHeijden,Netherlands,M,SE,NA,2586,ChoDryad,Marcel,NA,VanDerHeijden,Free University Amsterdam,NA,NA,NA,Switzerland,SciWri17,country
39,JECOL,2006,94,1,SE,Marcel VanDerHeijden,Marcel,,VanDerHeijden,Netherlands,M,SE,NA,2586,ChoDryad,Marcel,NA,VanDerHeijden,Free University Amsterdam,NA,NA,NA,Switzerland,SciWri17,country
40,JECOL,2007,95,1,SE,Marcel VanDerHeijden,Marcel,,VanDerHeijden,Netherlands,M,SE,NA,2586,ChoDryad,Marcel,NA,VanDerHeijden,Free University Amsterdam,NA,NA,NA,Switzerland,SciWri17,country
41,JECOL,2008,96,1,SE,Marcel VanDerHeijden,Marcel,,VanDerHeijden,Netherlands,M,SE,NA,2586,ChoDryad,Marcel,NA,VanDerHeijden,Free University Amsterdam,NA,NA,NA,Switzerland,SciWri17,country
42,JECOL,2009,97,1,SE,Marcel VanDerHeijden,Marcel,,VanDerHeijden,Netherlands,M,SE,NA,2586,ChoDryad,Marcel,NA,VanDerHeijden,ART Research Stationn,NA,NA,Zurich,Switzerland,SciWri17,country
44,JECOL,2010,98,1,SE,Marcel VanDerHeijden,Marcel,,VanDerHeijden,Netherlands,M,SE,NA,2586,ChoDryad,Marcel,NA,VanDerHeijden,Agroscope Reckenholz Tanikon Research Station,,NA,NA,Switzerland,SciWri17,country
47,JECOL,2011,99,1,SE,Marcel VanDerHeijden,Marcel,,VanDerHeijden,Netherlands,M,SE,NA,2586,ChoDryad,Marcel,NA,VanDerHeijden,Agroscope Reckenholz Tanikon Research Station,,NA,NA,Switzerland,SciWri17,country
50,JECOL,2012,100,1,SE,Marcel VanDerHeijden,Marcel,,VanDerHeijden,Netherlands,M,SE,NA,2586,ChoDryad,Marcel,NA,VanDerHeijden,Agroscope Reckenholz Tanikon Research Station,,Zurich,Switzerland,Switzerland,SciWri17,country
53,JECOL,2013,101,1,SE,Marcel VanDerHeijden,Marcel,,VanDerHeijden,Netherlands,M,SE,NA,2586,ChoDryad,Marcel,NA,VanDerHeijden,Agroscope Reckenholz Tanikon Research Station,,NA,NA,Switzerland,SciWri17,country
134,PLANTECOL,2003,164,1,Book.Review.Editor,Marcel G A VanDerHeijden,Marcel,G A,VanDerHeijden,Netherlands,NA,SPECIAL,,2586,EspinDryad,Marcel,G A,VanDerHeijden,,NA,NA,NA,Switzerland,SciWri17,country
135,PLANTECOL,2004,170,1,Book.Review.Editor,Marcel G A VanDerHeijden,Marcel,G A,VanDerHeijden,Netherlands,NA,SPECIAL,,2586,EspinDryad,Marcel,G A,VanDerHeijden,,NA,NA,NA,Switzerland,SciWri17,country
136,PLANTECOL,2005,176,1,Book.Review.Editor,Marcel G A VanDerHeijden,Marcel,G A,VanDerHeijden,Netherlands,NA,SPECIAL,,2586,EspinDryad,Marcel,G A,VanDerHeijden,,NA,NA,NA,Switzerland,SciWri17,country
137,PLANTECOL,2006,182,NA,Book.Review.Editor,Marcel G A VanDerHeijden,Marcel,G A,VanDerHeijden,Netherlands,NA,SPECIAL,,2586,EspinDryad,Marcel,G A,VanDerHeijden,,NA,NA,NA,Switzerland,SciWri17,country
138,PLANTECOL,2007,188,1,Book.Review.Editor,Marcel G A VanDerHeijden,Marcel,G A,VanDerHeijden,Netherlands,NA,SPECIAL,,2586,EspinDryad,Marcel,G A,VanDerHeijden,,NA,NA,NA,Switzerland,SciWri17,country
139,PLANTECOL,2008,194,1,Book.Review.Editor,Marcel G A VanDerHeijden,Marcel,G A,VanDerHeijden,Netherlands,NA,SPECIAL,,2586,EspinDryad,Marcel,G A,VanDerHeijden,,NA,NA,NA,Switzerland,SciWri17,country
140,PLANTECOL,2009,200,1,Book.Review.Editor,Marcel G A VanDerHeijden,Marcel,G A,VanDerHeijden,Netherlands,NA,SPECIAL,,2586,EspinDryad,Marcel,G A,VanDerHeijden,,NA,NA,NA,Switzerland,SciWri17,country
141,PLANTECOL,2010,206,1,Book.Review.Editor,Marcel G A VanDerHeijden,Marcel,G A,VanDerHeijden,Netherlands,NA,SPECIAL,,2586,EspinDryad,Marcel,G A,VanDerHeijden,,NA,NA,NA,Switzerland,SciWri17,country
100,JANE,2006,75,1,AE,Stuart Bearhop,Stuart,,Bearhop,Northern Ireland,NA,SE,,3278,EspinDryad,Stuart,NA,Bearhop,NA,NA,NA,NA,Ireland,SciWri17,country
101,JANE,2007,76,1,AE,Stuart Bearhop,Stuart,,Bearhop,Northern Ireland,NA,SE,,3278,EspinDryad,Stuart,NA,Bearhop,NA,NA,NA,NA,Ireland,SciWri17,country
102,JANE,2008,77,1,AE,Stuart Bearhop,Stuart,,Bearhop,Northern Ireland,NA,SE,,3278,EspinDryad,Stuart,NA,Bearhop,NA,NA,NA,NA,United Kingdom,SciWri17,country
103,JANE,2009,78,1,AE,Stuart Bearhop,Stuart,,Bearhop,Northern Ireland,NA,SE,"From now on it says associate editor, but they are subject editors",3278,EspinDryad,Stuart,NA,Bearhop,NA,NA,NA,NA,United Kingdom,SciWri17,country
104,JANE,2010,79,1,AE,Stuart Bearhop,Stuart,,Bearhop,Northern Ireland,NA,SE,"From now on it says associate editor, but they are subject editors",3278,EspinDryad,Stuart,NA,Bearhop,NA,NA,NA,NA,United Kingdom,SciWri17,country
105,JANE,2011,80,1,AE,Stuart Bearhop,Stuart,,Bearhop,Northern Ireland,NA,SE,,3278,EspinDryad,Stuart,NA,Bearhop,NA,NA,NA,NA,United Kingdom,SciWri17,country
106,JANE,2012,81,1,AE,Stuart Bearhop,Stuart,,Bearhop,Northern Ireland,NA,SE,,3278,EspinDryad,Stuart,NA,Bearhop,NA,NA,NA,NA,United Kingdom,SciWri17,country
107,JANE,2013,82,1,AE,Stuart Bearhop,Stuart,,Bearhop,Northern Ireland,NA,SE,,3278,EspinDryad,Stuart,NA,Bearhop,NA,NA,NA,NA,United Kingdom,SciWri17,country
108,JANE,2014,83,1,AE,Stuart Bearhop,Stuart,,Bearhop,Northern Ireland,NA,SE,,3278,EspinDryad,Stuart,NA,Bearhop,NA,NA,NA,NA,United Kingdom,SciWri17,country
130,OIKOS,2008,117,1,Subject.Editor,Pia Mutikainen,Pia,,Mutikainen,Switzerland,NA,SE,NA,2878,EspinDryad,Pia,NA,Mutikainen,NA,NA,Oulu,NA,Finland,SciWri17,country
25,ECOLOGY,2004,85,1,SE,Peter Steinberg,Peter,,Steinberg,United Kingdom,M,SE,,2922,ChoDryad,Peter,NA,Steinberg,University of New South Wales,NA,NA,NA,Australia,SciWri17,country
26,ECOLOGY,2005,86,1,SE,Peter Steinberg,Peter,,Steinberg,United Kingdom,M,SE,,2922,ChoDryad,Peter,NA,Steinberg,University of New South Wales,NA,NA,NA,Australia,SciWri17,country
27,ECOLOGY,2006,87,1,SE,Peter Steinberg,Peter,,Steinberg,United Kingdom,M,SE,,2922,ChoDryad,Peter,NA,Steinberg,University of New South Wales,NA,NA,NA,Australia,SciWri17,country
29,ECOLOGY,2007,88,1,SE,Peter Steinberg,Peter,,Steinberg,United Kingdom,M,SE,,2922,ChoDryad,Peter,NA,Steinberg,University of New South Wales,NA,NA,NA,Australia,SciWri17,country
30,ECOLOGY,2008,89,1,SE,Peter Steinberg,Peter,,Steinberg,United Kingdom,M,SE,,2922,ChoDryad,Peter,NA,Steinberg,University of New South Wales,NA,NA,NA,Australia,SciWri17,country
31,ECOLOGY,2009,90,1,SE,Peter Steinberg,Peter,,Steinberg,United Kingdom,M,SE,,2922,ChoDryad,Peter,NA,Steinberg,University of New South Wales,NA,NA,NA,Australia,SciWri17,country
32,ECOLOGY,2010,91,1,SE,Peter Steinberg,Peter,,Steinberg,United Kingdom,M,SE,,2922,ChoDryad,Peter,NA,Steinberg,University of New South Wales,NA,NA,NA,Australia,SciWri17,country
33,ECOLOGY,2011,92,1,SE,Peter Steinberg,Peter,,Steinberg,United Kingdom,M,SE,,2922,ChoDryad,Peter,NA,Steinberg,University of New South Wales,NA,NA,NA,Australia,SciWri17,country
34,ECOLOGY,2012,93,1,SE,Peter Steinberg,Peter,,Steinberg,United Kingdom,M,SE,,2922,ChoDryad,Peter,NA,Steinberg,University of New South Wales,NA,NA,NA,Australia,SciWri17,country
35,ECOLOGY,2013,94,1,SE,Peter Steinberg,Peter,,Steinberg,United Kingdom,M,SE,,2922,ChoDryad,Peter,NA,Steinberg,University of New South Wales,NA,NA,NA,Australia,SciWri17,country
72,JBIOG,2013,40,1,Editor,Richard J Ladle,Richard,J,Ladle,United Kingdom,NA,AE,,3125,EspinDryad,Richard,J,Ladle,Universidade Federal de Alagoas,Instituto de Ciências Biológicas e da Saúde,NA,NA,Brazil And UK,SciWri17,country
2,BITR,2005,37,1,SE,Carlos Peres,Carlos,,Peres,United Kingdom,M,SE,England,551,ChoDryad,Carlos,NA,Peres,University of East Anglia,NA,NA,NA,England,SciWri17,country
121,OIKOS,1990,57,1,Advisory.Panel,John H Lawton,John,H,Lawton,United Kingdom,NA,SE,NA,1702,EspinDryad,John,H,Lawton,Imperial College London,,Silwood Park,NA,England,SciWri17,country
122,OIKOS,1992,63,1,Advisory.Panel,John H Lawton,John,H,Lawton,United Kingdom,NA,SE,NA,1702,EspinDryad,John,H,Lawton,Imperial College London,,Silwood Park,NA,England,SciWri17,country
123,OIKOS,1993,66,1,Advisory.Panel,John H Lawton,John,H,Lawton,United Kingdom,NA,SE,NA,1702,EspinDryad,John,H,Lawton,Imperial College London,,Silwood Park,NA,England,SciWri17,country
124,OIKOS,1994,69,1,Advisory.Panel,John H Lawton,John,H,Lawton,United Kingdom,NA,SE,NA,1702,EspinDryad,John,H,Lawton,Imperial College London,,Silwood Park,NA,England,SciWri17,country
125,OIKOS,1995,72,1,Advisory.Panel,John H Lawton,John,H,Lawton,United Kingdom,NA,SE,NA,1702,EspinDryad,John,H,Lawton,Imperial College London,,Silwood Park,NA,England,SciWri17,country
126,OIKOS,1996,75,1,Advisory.Panel,John H Lawton,John,H,Lawton,United Kingdom,NA,SE,NA,1702,EspinDryad,John,H,Lawton,Imperial College London,,Silwood Park,NA,England,SciWri17,country
127,OIKOS,1997,79,1,Advisory.Panel,John H Lawton,John,H,Lawton,United Kingdom,NA,SE,NA,1702,EspinDryad,John,H,Lawton,Imperial College London,,Silwood Park,NA,England,SciWri17,country
128,OIKOS,1998,81,1,Advisory.Panel,John H Lawton,John,H,Lawton,United Kingdom,NA,SE,NA,1702,EspinDryad,John,H,Lawton,Imperial College London,,Silwood Park,NA,England,SciWri17,country
129,OIKOS,1999,84,1,Advisory.Panel,John H Lawton,John,H,Lawton,United Kingdom,NA,SE,NA,1702,EspinDryad,John,H,Lawton,Imperial College London,,Silwood Park,NA,England,SciWri17,country
55,JTE,1994,10,1,SE,Marinus JA Werger,Marinus,JA,Werger,United Kingdom,M,SE,NA,2604,ChoDryad,Marinus,JA,Werger,University of Utrecht,Department of plant ecology and evolutioanry biology,NA,Utretcht,Netherlands,SciWri17,country
56,JTE,1995,11,1,SE,Marinus JA Werger,Marinus,JA,Werger,United Kingdom,M,SE,NA,2604,ChoDryad,Marinus,JA,Werger,University of Utrecht,Department of plant ecology and evolutioanry biology,NA,Utretcht,Netherlands,SciWri17,country
57,JTE,1996,12,1,SE,Marinus JA Werger,Marinus,JA,Werger,United Kingdom,M,SE,NA,2604,ChoDryad,Marinus,JA,Werger,University of Utrecht,Department of plant ecology and evolutioanry biology,NA,Utretcht,Netherlands,SciWri17,country
58,JTE,1997,13,1,SE,Marinus JA Werger,Marinus,JA,Werger,United Kingdom,M,SE,NA,2604,ChoDryad,Marinus,JA,Werger,University of Utrecht,Department of plant ecology and evolutioanry biology,NA,Utretcht,Netherlands,SciWri17,country
59,JTE,1998,14,1,SE,Marinus JA Werger,Marinus,JA,Werger,United Kingdom,M,SE,NA,2604,ChoDryad,Marinus,JA,Werger,University of Utrecht,Department of plant ecology and evolutioanry biology,NA,Utretcht,Netherlands,SciWri17,country
60,JTE,1999,15,1,SE,Marinus JA Werger,Marinus,JA,Werger,United Kingdom,M,SE,NA,2604,ChoDryad,Marinus,JA,Werger,University of Utrecht,Department of plant ecology and evolutioanry biology,NA,Utretcht,Netherlands,SciWri17,country
62,JTE,2000,16,1,SE,Marinus JA Werger,Marinus,JA,Werger,United Kingdom,M,SE,NA,2604,ChoDryad,Marinus,JA,Werger,University of Utrecht,Department of plant ecology and evolutioanry biology,NA,Utretcht,Netherlands,SciWri17,country
64,JTE,2001,17,1,SE,Marinus JA Werger,Marinus,JA,Werger,United Kingdom,M,SE,NA,2604,ChoDryad,Marinus,JA,Werger,University of Utrecht,Department of plant ecology and evolutioanry biology,NA,Utretcht,Netherlands,SciWri17,country
109,JAPE,1994,31,1,Review.Board,Ian F Spellerberg,Ian,F,Spellerberg,United Kingdom,NA,SE,,1420,EspinDryad,Ian,F,Spellerberg,,NA,Canterbury,NA,New Zealand,SciWri17,country
110,JAPE,1995,32,1,Review.Board,Ian F Spellerberg,Ian,F,Spellerberg,United Kingdom,NA,SE,,1420,EspinDryad,Ian,F,Spellerberg,,NA,NA,NA,New Zealand,SciWri17,country
111,JAPE,1996,33,1,Review.Board,Ian F Spellerberg,Ian,F,Spellerberg,United Kingdom,NA,SE,,1420,EspinDryad,Ian,F,Spellerberg,,NA,NA,NA,New Zealand,SciWri17,country
113,JAPE,2008,45,1,Editor,Phil Hulme,Phil,,Hulme,United Kingdom,NA,AE,,2836,EspinDryad,Phil,NA,Hulme,Lincoln University,NA,NA,NA,New Zealand,SciWri17,country
1,BITR,1998,30,1,SE,John Proctor,John,,Proctor,United Kingdom,M,SE,,1819,ChoDryad,John,NA,Proctor,University of Stirling,NA,NA,NA,Scotland,SciWri17,country
131,OIKOS,2009,118,1,Subject.Editor,Martin Solan,Martin,,Solan,United Kingdom,NA,SE,NA,2567,EspinDryad,Martin,NA,Solan,NA,NA,Aberdeenshire,NA,Scotland,SciWri17,country
132,OIKOS,2010,119,NA,Subject.Editor,Justin Travis,Justin,,Travis,United Kingdom,NA,SE,NA,3910,EspinDryad,Justin,NA,Travis,NA,NA,Aberdeen,NA,Scotland,SciWri17,country
133,OIKOS,2010,119,1,Subject.Editor,Martin Solan,Martin,,Solan,United Kingdom,NA,SE,NA,2567,EspinDryad,Martin,NA,Solan,NA,NA,Aberdeenshire,NA,Scotland,SciWri17,country
65,JTE,2002,18,1,EIC,Ian M Turner,Ian,M,Turner,United Kingdom,M,EIC,NA,1425,ChoDryad,Ian,M,Turner,Singapore Botanic Gardens,NA,NA,NA,Singapore,SciWri17,country
66,JTE,2003,19,1,EIC,Ian M Turner,Ian,M,Turner,United Kingdom,M,EIC,NA,1425,ChoDryad,Ian,M,Turner,Singapore Botanic Gardens,NA,NA,NA,Singapore,SciWri17,country
12,CONBIO,1987,1,1,SE,Robert May,Robert,,May,United Kingdom,M,SE,NA,3147,ChoDryad,Robert,NA,May,Princeton University,NA,Princeton,New Jersey,USA,SciWri17,country
14,CONBIO,1988,2,1,SE,Robert May,Robert,,May,United Kingdom,M,SE,NA,3147,ChoDryad,Robert,NA,May,NA,NA,NA,NA,USA,SciWri17,country
37,JECOL,1985,73,1,SE,J Grace,J,,Grace,United Kingdom,M,SE,probJohnGraceUofEdinborough,3892,ChoDryad,James ,B.,Grace,NA,NA,Baton Rouge,Louisiana,USA,SciWri17,country
69,AGRONOMY,2014,106,1,AE,James Taylor,James,,Taylor,United Kingdom,NA,SE,,1902,EspinDryad,James,NA,Taylor,Cornell University,Lake Erie Research And Extension Lab,Portland,New York,USA,SciWri17,country
