,JOURNAL,YEAR,FIRST_NAME,MIDDLE_NAME,LAST_NAME,editor_id,INST,UNIT,CITY,STATE,COUNTRY,source,code
54,ECOGRAPHY,1984,Nils,Christian,Stenseth,2695,University of Oslo,Division of Zoology,Oslo,NA,Norway,SciWri17,SCIWRI_butnot_DRYAD
55,ECOGRAPHY,1984,Odd,NA,Halvorsen,2719,University of Tromso,Institute of Geology and Biology,Oslo,NA,Norway,SciWri17,SCIWRI_butnot_DRYAD
56,JTE,2015,Marinus,JA,Werger,2604,University of Utrecht,Department of plant ecology and evolutioanry biology,NA,Utretcht,Netherlands,SciWri17,SCIWRI_butnot_DRYAD
57,JTE,2015,Brigitte,NA,Fiala,270,University of Wurzburg,NA,ÊDepartment of Animal Ecology and Tropical Biology (Zoology III),Wuzerburg,Germany,SciWri17,SCIWRI_butnot_DRYAD
58,LECO,1998,E,NA,VanDer,1034,Uppsala University,,Uppsala,NA,Sweden,SciWri17,SCIWRI_butnot_DRYAD
59,FEM,1984,Stanley,L,Krugman,3383,US Forest Service,NA,Washington DC,Washington DC,USA,SciWri17,SCIWRI_butnot_DRYAD
60,FEM,1984,Boyd,W,Post,341,US Forest Service,NA,Washington DC,Washington DC,USA,SciWri17,SCIWRI_butnot_DRYAD
61,PLANTECOL,2002,Marcel,G A,VanDerHeijden,2586,Vrije Universiteit Amsterdam,,Amsterdam,NA,Switzerland,SciWri17,SCIWRI_butnot_DRYAD
62,JTE,2015,L,A,Bruijnzeel,2134,Vrije Universiteit Amsterdam,,NA,Amsterdam,Netherlands,SciWri17,SCIWRI_butnot_DRYAD
63,JTE,2015,Frans,NA,Bongers,1055,Wageningen University and Research,,NA,NA,Netherlands,SciWri17,SCIWRI_butnot_DRYAD
64,JTE,2015,Herbert,HT,Prins,1350,Wageningen University and Research,,NA,Wageningen ,Netherlands,SciWri17,SCIWRI_butnot_DRYAD
65,CONBIO,2005,Michael,NA,Mascia,2465,World Wildlife Fund,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
66,OIKOS,2007,Jordi,NA,Bascompte,1453,NA,NA,Seville,NA,Spain,SciWri17,SCIWRI_butnot_DRYAD
67,OIKOS,2008,Christer,NA,Bronmark,405,NA,NA,Lund,NA,Sweden,SciWri17,SCIWRI_butnot_DRYAD
68,OIKOS,2008,Kathy,NA,Suding,2100,NA,NA,Irvine,CA,USA,SciWri17,SCIWRI_butnot_DRYAD
69,OIKOS,2008,Thomas,NA,Waite,NA,NA,NA,Columbus,OH,USA,SciWri17,SCIWRI_butnot_DRYAD
70,OIKOS,2010,Matthijs,NA,Vos,2594,NA,NA,Potsdam,NA,Germany,SciWri17,SCIWRI_butnot_DRYAD
