,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,NOTES
189,JAPE,2014,965,Esteban,NA,Fernandez-Juricic,,,NA,missing,USA,
190,JAPE,2015,965,Esteban,NA,Fernandez-Juricic,,,NA,missing,USA,
191,JAPE,2002,1004,Eleanor,Jane,Milner-Gulland,NA,NA,London,missing,United Kingdom,
192,JAPE,2003,1004,Eleanor,Jane,Milner-Gulland,,,NA,missing,United Kingdom,
193,JAPE,2004,1004,Eleanor,Jane,Milner-Gulland,,,NA,missing,United Kingdom,
194,JAPE,2005,1004,Eleanor,Jane,Milner-Gulland,,,NA,missing,United Kingdom,
195,JAPE,2006,1004,Eleanor,Jane,Milner-Gulland,,,NA,missing,United Kingdom,
196,JAPE,2007,1004,Eleanor,Jane,Milner-Gulland,,,NA,missing,United Kingdom,
197,JAPE,2008,1004,Eleanor,Jane,Milner-Gulland,Imperial College London,NA,NA,missing,United Kingdom,
198,JAPE,2009,1004,Eleanor,Jane,Milner-Gulland,,,NA,missing,United Kingdom,
199,JAPE,2010,1004,Eleanor,Jane,Milner-Gulland,,,NA,missing,United Kingdom,
200,JAPE,2011,1004,Eleanor,Jane,Milner-Gulland,,,NA,missing,United Kingdom,
201,JAPE,2012,1004,Eleanor,Jane,Milner-Gulland,,,NA,missing,United Kingdom,
202,JAPE,2013,1004,Eleanor,Jane,Milner-Gulland,,,NA,missing,United Kingdom,
203,JAPE,2014,1004,Eleanor,Jane,Milner-Gulland,,,NA,missing,United Kingdom,
204,JAPE,2010,1006,Eric,NA,Morgan,University of Bristol,NA,NA,missing,United Kingdom,
205,JAPE,2011,1006,Eric,NA,Morgan,,,NA,missing,United Kingdom,
206,JAPE,2012,1006,Eric,NA,Morgan,,,NA,missing,United Kingdom,
207,JAPE,2013,1006,Eric,NA,Morgan,,,NA,missing,United Kingdom,
208,JAPE,2014,1006,Eric,NA,Morgan,,,NA,missing,United Kingdom,
209,JAPE,2007,1079,Fangliang,NA,He,NA,NA,Alberta,missing,Canada,
210,JAPE,2008,1079,Fangliang,NA,He,,,NA,missing,Canada,
211,JAPE,2009,1079,Fangliang,NA,He,,,NA,missing,Canada,
212,JAPE,2010,1079,Fangliang,NA,He,University of Alberta,NA,NA,missing,Canada,
213,JAPE,2000,1209,Glenn,R,Iason,NA,NA,Aberdeen,missing,United Kingdom,
214,JAPE,2001,1209,Glenn,R,Iason,,,NA,missing,United Kingdom,
215,JAPE,2002,1209,Glenn,R,Iason,,,NA,missing,United Kingdom,
216,JAPE,2003,1209,Glenn,R,Iason,,,NA,missing,United Kingdom,
217,JAPE,2004,1209,Glenn,R,Iason,,,NA,missing,United Kingdom,
218,JAPE,2005,1260,Graham,NA,Smith,NA,NA,York,missing,United Kingdom,
219,JAPE,2006,1260,Graham,NA,Smith,,,NA,missing,United Kingdom,
220,JAPE,2010,1290,Harald,NA,Bugmann,Swiss Federal Institute of Technology Zurich,NA,NA,missing,Switzerland,
221,JAPE,2011,1290,Harald,NA,Bugmann,,,NA,missing,Switzerland,
