"","JOURNAL","YEAR","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","INST","UNIT","CITY","STATE","COUNTRY","NOTES","X"
"114","JECOL",1999,"89","Alan","J","Gray",NA,NA,"Wareham",NA,"United Kingdom",NA,NA
"115","JECOL",2000,"89","Alan","J","Gray",NA,NA,"Wareham",NA,"United Kingdom",NA,NA
"116","JECOL",2001,"89","Alan","J","Gray",NA,NA,"Wareham",NA,"United Kingdom",NA,NA
"117","JECOL",2002,"89","Alan","J","Gray",NA,NA,"Wareham",NA,"United Kingdom",NA,NA
"118","JECOL",2003,"89","Alan","J","Gray",NA,NA,"Wareham",NA,"United Kingdom",NA,NA
"119","JECOL",1985,"1608","J","Philip","Grime",NA,NA,"Sheffield S10 2TN",NA,"United Kingdom",NA,NA
"120","JECOL",1986,"1608","J","P","Grime",NA,NA,NA,NA,"United Kingdom",NA,NA
"121","JECOL",1997,"3562","Toshihiko",NA,"Hara",NA,NA,"Hokkaido",NA,"Japan",NA,NA
"122","JECOL",1998,"3562","Toshihiko",NA,"Hara",NA,NA,"Hokkaido",NA,"Japan",NA,NA
"123","JECOL",1999,"3562","Toshihiko",NA,"Hara",NA,NA,"Hokkaido",NA,"Japan",NA,NA
"124","JECOL",2000,"3562","Toshihiko",NA,"Hara",NA,NA,"Hokkaido",NA,"Japan",NA,NA
"125","JECOL",2001,"3562","Toshihiko",NA,"Hara",NA,NA,"Hokkaido",NA,"Japan",NA,NA
"126","JECOL",2002,"3562","Toshihiko",NA,"Hara",NA,NA,"Hokkaido",NA,"Japan",NA,NA
"127","JECOL",2003,"3562","Toshihiko",NA,"Hara",NA,NA,"Hokkaido",NA,"Japan",NA,NA
"128","JECOL",2005,"3353","Sue","E","Hartley","University of Sussex",NA,NA,NA,"United Kingdom",NA,NA
"129","JECOL",2002,"3353","Sue","E","Hartley",NA,NA,"Brighton",NA,"United Kingdom",NA,NA
"130","JECOL",2003,"3353","Sue","E","Hartley",NA,NA,"Brighton",NA,"United Kingdom",NA,NA
"131","JECOL",2004,"3353","Sue","E","Hartley",NA,NA,"Brighton",NA,"United Kingdom",NA,NA
"132","JECOL",1985,"289","B",NA,"Hopkins",NA,NA,NA,NA,"United Kingdom",NA,NA
"133","CONBIO",1988,"2175","Laura",NA,"Huenneke","New Mexico State University",NA,"Las Cruces","New Mexico","USA",NA,NA
"134","JECOL",1995,"2175","Laura",NA,"Huenneke",NA,NA,"New Mexico",NA,"USA",NA,NA
"135","JECOL",1996,"2175","Laura",NA,"Huenneke",NA,NA,"New Mexico",NA,"USA",NA,NA
"136","JECOL",1997,"2175","Laura",NA,"Huenneke",NA,NA,"New Mexico",NA,"USA",NA,NA
"137","JECOL",1998,"2175","Laura",NA,"Huenneke",NA,NA,"New Mexico",NA,"USA",NA,NA
"138","JECOL",1987,"291","B",NA,"Huntely",NA,NA,NA,NA,"United Kingdom",NA,NA
"139","JECOL",1985,"292","B",NA,"Huntley",NA,NA,NA,NA,"United Kingdom",NA,NA
"140","JECOL",1986,"292","B",NA,"Huntley",NA,NA,NA,NA,"United Kingdom",NA,NA
"141","JECOL",1988,"292","B",NA,"Huntley",NA,NA,NA,NA,"United Kingdom",NA,NA
"142","PLANTECOL",1993,"2419","Michael","J","Hutchings","University of Sussex","School of Biological Sciences","Sussex",NA,"United Kingdom",NA,NA
"143","JECOL",1985,"2419","Michael","J","Hutchings",NA,NA,NA,NA,"United Kingdom",NA,NA
"144","JECOL",1986,"2419","Michael","J","Hutchings",NA,NA,NA,NA,"United Kingdom",NA,NA
"145","JECOL",1987,"2419","Michael","J","Hutchings",NA,NA,NA,NA,"United Kingdom",NA,NA
"146","JECOL",1988,"2419","Michael","J","Hutchings",NA,NA,NA,NA,"United Kingdom",NA,NA
"147","JECOL",1989,"2419","Michael","J","Hutchings",NA,NA,NA,NA,"United Kingdom",NA,NA
"148","JECOL",1991,"2419","Michael","J","Hutchings",NA,NA,NA,NA,"United Kingdom",NA,NA
"149","JECOL",1992,"2419","Michael","J","Hutchings",NA,NA,"Brighton",NA,"United Kingdom",NA,NA
"150","JECOL",1993,"2419","Michael","J","Hutchings",NA,NA,"Brighton",NA,"United Kingdom",NA,NA
