"JOURNAL","YEAR","VOLUME","ISSUE","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","TITLE","CATEGORY","CATEGORY.x","INST","OLD_INST","INST.2","UNIT","CITY","STATE","COUNTRY","COUNTRY_Prior_Class","geo.code","geo.code_Prior_Class","NOTES","GENDER","X"
"MARECOL",1989,10,1,NA,"T","S","Hopkins","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"R",NA,"Hessler","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"Y",NA,"Halim","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"R","W","Grigg","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"J","S","Gray","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"T",NA,"Gamulin","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"H",NA,"Fricke","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"T",NA,"Fenchel","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,"Denmark",NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"P",NA,"Colantoni","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"G","C","Carrada","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"C","F","Boudouresque","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"B",NA,"Battaglia","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"H","A","Salem","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"E",NA,"Fresi","Assistant Editor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"R",NA,"Riedl","Editors in Chief",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1989,10,1,NA,"J",NA,"Ott","Editors in Chief",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"A",NA,"Zhirmunsky","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"C",NA,"Tomas","Editorial Board",NA,NA,"Florida Dept. of Natural Resources Bureau of Marine Research",NA,NA,NA,"St. Petersburg","FL","USA",NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"M",NA,"Sara","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"K",NA,"Rutzler","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"F","D","Por","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"P","G","Moore","Editorial Board",NA,NA,"University Marine Biological Station Millport",NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"D",NA,"Marino","Editorial Board",NA,NA,"Stazione Zoologica ""Anton Dohrn""",NA,NA,NA,"Naples",NA,"Italy",NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"D","H","H. Kuhlmann","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"A",NA,"Ianora","Editorial Board",NA,NA,"Stazione Zoologica ""Anton Dohrn""",NA,NA,NA,"Naples",NA,"Italy",NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"H",NA,"Fricke","Editorial Board",NA,NA,"Max Planck Institut fur Verhaltensphysiologie",NA,NA,NA,"Seewiesen","Tutzing","Germany",NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"H",NA,"Felbeck","Editorial Board",NA,NA,"University of California San Diego",NA,NA,"Scripps Institution of Oceanography","La Jolla","CA","USA",NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"M",NA,"Estrada","Editorial Board",NA,NA,"Instituto de Ciencias del Mar CSIC",NA,NA,NA,NA,"Barcelona","Spain",NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"R",NA,"Elmgren","Editorial Board",NA,NA,"University of Stockholm",NA,NA,"Department of Zoology",NA,"Stockholm","Sweden",NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"A",NA,"Eleftheriou","Editorial Board",NA,NA,"Institute of Marine Biology of Crete",NA,NA,NA,NA,"Iraklio","Greece",NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"G","C","Carrada","Editorial Board",NA,NA,"Universita die Napoli ""Frederico II""",NA,NA,"Dipartimento di Zoologia","Naples",NA,"Italy",NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"C","F","Boudouresque","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"A",NA,"Benovic","Editorial Board",NA,NA,"Biological Institute",NA,NA,NA,NA,NA,"Yugoslavia",NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"L",NA,"Mazzella","Assistant Editor",NA,NA,"Stazione Zoologica ""Anton Dohrn""",NA,NA,"Laboratorio di Ecologia del Benthos","Ischia Porto",NA,"Italy",NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"R",NA,"Riedl","Editors in Chief",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1990,11,1,NA,"J",NA,"Ott","Editors in Chief",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1991,12,2,NA,"A",NA,"Zhirmunsky","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1991,12,2,NA,"C",NA,"Tomas","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1991,12,2,NA,"M",NA,"Sara","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1991,12,2,NA,"K",NA,"Rutzler","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1991,12,2,NA,"F","D","Por","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1991,12,2,NA,"P","G","Moore","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1991,12,2,NA,"D",NA,"Marino","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1991,12,2,NA,"D","H","H. Kuhlmann","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
