JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,,INST,,INST FIXED,UNIT,CITY,COUNTRY,,,,,,,,,,,
AMNAT,2014,3305,sean,r,connolly,connolly,james cook university,,james cook university townsville,,NA,Australia,,both$INST[both$editor_id==,3305," & both$INST==""",james cook university,"""",,"]<-""",james cook university townsville,"""","both$INST[both$editor_id==3305 & both$INST==""james cook university""]<-""james cook university townsville"""
BITR,2013,2745,oscar,NA,venter,venter,james cook university,,james cook university brisbane,,NA,Australia,,both$INST[both$editor_id==,2745," & both$INST==""",james cook university,"""",,"]<-""",james cook university brisbane,"""","both$INST[both$editor_id==2745 & both$INST==""james cook university""]<-""james cook university brisbane"""
JBIOG,2005,621,david,r,bellwood,bellwood,james cook university,,james cook university townsville,,NA,Australia,,both$INST[both$editor_id==,621," & both$INST==""",james cook university,"""",,"]<-""",james cook university townsville,"""","both$INST[both$editor_id==621 & both$INST==""james cook university""]<-""james cook university townsville"""
OECOL,2008,2971,ross,a,alford,alford,james cook university,,james cook university townsville,,NA,Australia,,both$INST[both$editor_id==,2971," & both$INST==""",james cook university,"""",,"]<-""",james cook university townsville,"""","both$INST[both$editor_id==2971 & both$INST==""james cook university""]<-""james cook university townsville"""
OECOL,2008,3857,christopher,n,johnson,johnson,james cook university,,james cook university townsville,,NA,Australia,,both$INST[both$editor_id==,3857," & both$INST==""",james cook university,"""",,"]<-""",james cook university townsville,"""","both$INST[both$editor_id==3857 & both$INST==""james cook university""]<-""james cook university townsville"""
FUNECOL,2007,2095,keith,w,sockman,sockman,north carolina,,university of north carolina chapel hill,,NA,USA,,both$INST[both$editor_id==,2095," & both$INST==""",north carolina,"""",,"]<-""",university of north carolina chapel hill,"""","both$INST[both$editor_id==2095 & both$INST==""north carolina""]<-""university of north carolina chapel hill"""
AUK,1997,NA,lisa,j,petit,petit,smithsonian institution,,smithsonian national zoological park,,smithsonian migratory bird center,USA,,both$INST[both$LAST_NAME==,"""petit"""," & both$INST==""",smithsonian institution,"""",,"]<-""",smithsonian national zoological park,"""","both$INST[both$LAST_NAME==""petit"" & both$INST==""smithsonian institution""]<-""smithsonian national zoological park"""
BITR,1993,323,betty,j,meggers,,smithsonian institute,,smithsonian institution national museum of natural history,,washington dc,USA,,both$INST[both$editor_id==,323," & both$INST==""",smithsonian institute,"""",,"]<-""",smithsonian institution national museum of natural history,"""","both$INST[both$editor_id==323 & both$INST==""smithsonian institute""]<-""smithsonian institution national museum of natural history"""
BITR,1993,3593,thomas,NA,lovejoy,,smithsonian institute,,smithsonian institution,,washington dc,USA,,both$INST[both$editor_id==,3593," & both$INST==""",smithsonian institute,"""",,"]<-""",smithsonian institution,"""","both$INST[both$editor_id==3593 & both$INST==""smithsonian institute""]<-""smithsonian institution"""
AUK,1998,NA,james,s,sedinger,sedinger,university of alaska,,university of alaska fairbanks,,NA,USA,,both$INST[both$LAST_NAME==,"""sedinger"""," & both$INST==""",university of alaska,"""",,"]<-""",university of alaska fairbanks,"""","both$INST[both$LAST_NAME==""sedinger"" & both$INST==""university of alaska""]<-""university of alaska fairbanks"""
ECOLOGY,2006,3207,roger,w,ruess,ruess,university of alaska,,university of alaska fairbanks,,NA,USA,,both$INST[both$editor_id==,3207," & both$INST==""",university of alaska,"""",,"]<-""",university of alaska fairbanks,"""","both$INST[both$editor_id==3207 & both$INST==""university of alaska""]<-""university of alaska fairbanks"""
OECOL,1985,1062,f,stuart,chapin,chapin,university of alaska,,university of alaska fairbanks,,NA,USA,,both$INST[both$editor_id==,1062," & both$INST==""",university of alaska,"""",,"]<-""",university of alaska fairbanks,"""","both$INST[both$editor_id==1062 & both$INST==""university of alaska""]<-""university of alaska fairbanks"""
AMNAT,1991,1062,f,stuart,chapin,chapin,university of california,,university of california berkeley,,NA,USA,,both$INST[both$editor_id==,1062," & both$INST==""",university of california,"""",,"]<-""",university of california berkeley,"""","both$INST[both$editor_id==1062 & both$INST==""university of california""]<-""university of california berkeley"""
AMNAT,1996,1561,john,a,endler,endler,university of california,,university of california santa barbara,,NA,USA,,both$INST[both$editor_id==,1561," & both$INST==""",university of california,"""",,"]<-""",university of california santa barbara,"""","both$INST[both$editor_id==1561 & both$INST==""university of california""]<-""university of california santa barbara"""
AMNAT,1995,1871,joan,b,silk,silk,university of california,,university of california los angeles,,NA,USA,,both$INST[both$editor_id==,1871," & both$INST==""",university of california,"""",,"]<-""",university of california los angeles,"""","both$INST[both$editor_id==1871 & both$INST==""university of california""]<-""university of california los angeles"""
AMNAT,1993,1886,judy,a,stamps,stamps,university of california,,university of california davis,,NA,USA,,both$INST[both$editor_id==,1886," & both$INST==""",university of california,"""",,"]<-""",university of california davis,"""","both$INST[both$editor_id==1886 & both$INST==""university of california""]<-""university of california davis"""
AMNAT,1994,3330,steven,a,frank,frank,university of california,,university of california irvine,,NA,USA,,both$INST[both$editor_id==,3330," & both$INST==""",university of california,"""",,"]<-""",university of california irvine,"""","both$INST[both$editor_id==3330 & both$INST==""university of california""]<-""university of california irvine"""
AMNAT,1998,3333,steven,d,gaines,gaines,university of california,,university of california santa barbara,,NA,USA,,both$INST[both$editor_id==,3333," & both$INST==""",university of california,"""",,"]<-""",university of california santa barbara,"""","both$INST[both$editor_id==3333 & both$INST==""university of california""]<-""university of california santa barbara"""
AMNAT,2015,3444,stephen,r,proulx,proulx,university of california,,university of california santa barbara,,NA,USA,,both$INST[both$editor_id==,3444," & both$INST==""",university of california,"""",,"]<-""",university of california santa barbara,"""","both$INST[both$editor_id==3444 & both$INST==""university of california""]<-""university of california santa barbara"""
AMNAT,1992,3786,william,r,rice,rice,university of california,,university of california santa barbara,,NA,USA,,both$INST[both$editor_id==,3786," & both$INST==""",university of california,"""",,"]<-""",university of california santa barbara,"""","both$INST[both$editor_id==3786 & both$INST==""university of california""]<-""university of california santa barbara"""
AMNAT,1992,3804,wayne,p,sousa,sousa,university of california,,university of california berkeley,,NA,USA,,both$INST[both$editor_id==,3804," & both$INST==""",university of california,"""",,"]<-""",university of california berkeley,"""","both$INST[both$editor_id==3804 & both$INST==""university of california""]<-""university of california berkeley"""
AUK,1998,NA,john,m ,eadie,eadie,university of california,,university of california davis,,NA,USA,,both$INST[both$LAST_NAME==,"""eadie"""," & both$INST==""",university of california,"""",,"]<-""",university of california davis,"""","both$INST[both$LAST_NAME==""eadie"" & both$INST==""university of california""]<-""university of california davis"""
BIOCON,1987,566,cm,NA,schonewald,schonewald,university of california,,university of california davis,,NA,USA,,both$INST[both$editor_id==,566," & both$INST==""",university of california,"""",,"]<-""",university of california davis,"""","both$INST[both$editor_id==566 & both$INST==""university of california""]<-""university of california davis"""
JAPE,2015,1655,jeremy,NA,james,james,university of california,,university of california DANR,Sierra Foothills Research REC,NA,USA,,both$INST[both$editor_id==,1655," & both$INST==""",university of california,"""",,"]<-""",university of california DANR,"""","both$INST[both$editor_id==1655 & both$INST==""university of california""]<-""university of california DANR"""
JBIOG,2005,1220,glen,m,macdonald,macdonald,university of california,,university of california los angeles,,NA,USA,,both$INST[both$editor_id==,1220," & both$INST==""",university of california,"""",,"]<-""",university of california los angeles,"""","both$INST[both$editor_id==1220 & both$INST==""university of california""]<-""university of california los angeles"""
OECOL,1996,2058,kenneth,a,nagy,nagy,university of california,,university of california los angeles,,NA,USA,,both$INST[both$editor_id==,2058," & both$INST==""",university of california,"""",,"]<-""",university of california los angeles,"""","both$INST[both$editor_id==2058 & both$INST==""university of california""]<-""university of california los angeles"""
OECOL,1998,2525,mary,v,price,price,university of california,,university of california riverside,,NA,USA,,both$INST[both$editor_id==,2525," & both$INST==""",university of california,"""",,"]<-""",university of california riverside,"""","both$INST[both$editor_id==2525 & both$INST==""university of california""]<-""university of california riverside"""
ECOLOGY,2013,2411,mark,a,hixon,hixon,university of hawaii,,university of hawaii manoa,,honolulu,USA,,both$INST[both$editor_id==,2411," & both$INST==""",university of hawaii,"""",,"]<-""",university of hawaii manoa,"""","both$INST[both$editor_id==2411 & both$INST==""university of hawaii""]<-""university of hawaii manoa"""
BITR,2013,672,donald,NA,drake,drake,university of hawaii,,university of hawaii manoa,,NA,USA,,both$INST[both$editor_id==,672," & both$INST==""",university of hawaii,"""",,"]<-""",university of hawaii manoa,"""","both$INST[both$editor_id==672 & both$INST==""university of hawaii""]<-""university of hawaii manoa"""
AJB,2014,2097,kristina,NA,stinson,stinson,university of massachusetts,,university of massachusetts amherst,,NA,USA,,both$INST[both$editor_id==,2097," & both$INST==""",university of massachusetts,"""",,"]<-""",university of massachusetts amherst,"""","both$INST[both$editor_id==2097 & both$INST==""university of massachusetts""]<-""university of massachusetts amherst"""
AUK,1999,NA,donald,e,kroodsma,kroodsma,university of massachusetts,,university of massachusetts amherst,,NA,USA,,both$INST[both$LAST_NAME==,"""kroodsma"""," & both$INST==""",university of massachusetts,"""",,"]<-""",university of massachusetts amherst,"""","both$INST[both$LAST_NAME==""kroodsma"" & both$INST==""university of massachusetts""]<-""university of massachusetts amherst"""
LANDSCAPEECO,2007,1435,j,NA,ahem,ahem,university of massachusetts,,university of massachusetts amherst,,NA,USA,,both$INST[both$editor_id==,1435," & both$INST==""",university of massachusetts,"""",,"]<-""",university of massachusetts amherst,"""","both$INST[both$editor_id==1435 & both$INST==""university of massachusetts""]<-""university of massachusetts amherst"""
OIKOS,2011,1025,eric,NA,seabloom,seabloom,university of minnesota,,university of minnesota twin cities,,corvallis,USA,,both$INST[both$editor_id==,1025," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==1025 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
ECOGRAPHY,2010,2035,kenneth,h,kozak,kozak,university of minnesota,,university of minnesota twin cities,,minneapolis and st paul,USA,,both$INST[both$editor_id==,2035," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==2035 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
AMNAT,1994,3218,ruth,green,shaw,shaw,university of minnesota,,university of minnesota twin cities,,minneapolis-st paul,USA,,both$INST[both$editor_id==,3218," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==3218 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
CONBIO,1987,972,eville,NA,gorham,gorham,university of minnesota,,university of minnesota twin cities,,minneapolis-st paul,USA,,both$INST[both$editor_id==,972," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==972 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
AMNAT,1991,891,david,NA,tilman,tilman,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$editor_id==,891," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==891 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
AREES,2014,3360,sarah,e,hobbie,hobbie,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$editor_id==,3360," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==3360 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
AUK,2013,NA,w,todd,arnold,arnold,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$LAST_NAME==,"""arnold"""," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$LAST_NAME==""arnold"" & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
BITR,2013,1817,jennifer,NA,powers,powers,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$editor_id==,1817," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==1817 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
ECOLOGY,2013,48,anthony,w,d'amato,d'amato,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$editor_id==,48," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==48 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
ECOLOGY,2010,936,elizabeth,t,borer,borer,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$editor_id==,936," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==936 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
ECOLOGY,2010,1506,jeannine,m,cavender-bares,cavender-bares,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$editor_id==,1506," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==1506 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
EVOL,2015,52,antony,NA,dean,dean,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$editor_id==,52," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==52 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
EVOL,2015,792,david,a,moeller,moeller,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$editor_id==,792," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==792 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
LANDSCAPEECO,1993,1781,j,NA,nassauer,nassauer,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$editor_id==,1781," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==1781 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
OECOL,2013,1200,george,NA,heimpel,heimpel,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$editor_id==,1200," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==1200 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
OECOL,1991,2872,patrice,a,morrow,morrow,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$editor_id==,2872," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==2872 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
OECOL,2007,2905,peter,b,reich,reich,university of minnesota,,university of minnesota twin cities,,NA,USA,,both$INST[both$editor_id==,2905," & both$INST==""",university of minnesota,"""",,"]<-""",university of minnesota twin cities,"""","both$INST[both$editor_id==2905 & both$INST==""university of minnesota""]<-""university of minnesota twin cities"""
AUK,2006,NA,john,NA,klicka,klicka,university of nevada,,university of nevada las vegas,,NA,USA,,both$INST[both$LAST_NAME==,"""walker"""," & both$INST==""",university of nevada,"""",,"]<-""",university of nevada las vegas,"""","both$INST[both$LAST_NAME==""walker"" & both$INST==""university of nevada""]<-""university of nevada las vegas"""
PLANTECOL,2004,2253,lawrence,r,walker,walker,university of nevada,,university of nevada las vegas,,NA,USA,,both$INST[both$editor_id==,2253," & both$INST==""",university of nevada,"""",,"]<-""",university of nevada las vegas,"""","both$INST[both$editor_id==2253 & both$INST==""university of nevada""]<-""university of nevada las vegas"""
ECOLOGY,2009,2352,martin,w,doyle,doyle,university of north carolina,,university of north carolina chapel hill,,NA,USA,,both$INST[both$editor_id==,2352," & both$INST==""",university of north carolina,"""",,"]<-""",university of north carolina chapel hill,"""","both$INST[both$editor_id==2352 & both$INST==""university of north carolina""]<-""university of north carolina chapel hill"""
EVOL,2007,820,david,w,pfennig,pfennig,university of north carolina,,university of north carolina chapel hill,,raleigh,USA,,both$INST[both$editor_id==,820," & both$INST==""",university of north carolina,"""",,"]<-""",university of north carolina chapel hill,"""","both$INST[both$editor_id==820 & both$INST==""university of north carolina""]<-""university of north carolina chapel hill"""
AJB,2006,3200,robert,a,raguso,raguso,university of south carolina,,university of south carolina columbia,,NA,USA,,both$INST[both$editor_id==,3200," & both$INST==""",university of south carolina,"""",,"]<-""",university of south carolina columbia,"""","both$INST[both$editor_id==3200 & both$INST==""university of south carolina""]<-""university of south carolina columbia"""
AJB,1995,1749,james,NA,mauseth,mauseth,university of texas,,university of texas austin,university of texas austin,NA,USA,,both$INST[both$editor_id==,1749," & both$INST==""",university of texas,"""",,"]<-""",university of texas austin,"""","both$INST[both$editor_id==1749 & both$INST==""university of texas""]<-""university of texas austin"""
AJB,2002,3137,randal,NA,linder,linder,university of texas,,university of texas austin,university of texas austin,NA,USA,,both$INST[both$editor_id==,3137," & both$INST==""",university of texas,"""",,"]<-""",university of texas austin,"""","both$INST[both$editor_id==3137 & both$INST==""university of texas""]<-""university of texas austin"""
AJB,1985,3535,theodore,NA,delevoryas,delevoryas,university of texas,,university of texas austin,university of texas austin,NA,USA,,both$INST[both$editor_id==,3535," & both$INST==""",university of texas,"""",,"]<-""",university of texas austin,"""","both$INST[both$editor_id==3535 & both$INST==""university of texas""]<-""university of texas austin"""
AMNAT,2003,723,david,m,hillis,hillis,university of texas,,university of texas austin,university of texas austin,NA,USA,,both$INST[both$editor_id==,723," & both$INST==""",university of texas,"""",,"]<-""",university of texas austin,"""","both$INST[both$editor_id==723 & both$INST==""university of texas""]<-""university of texas austin"""
OECOL,2012,1691,joanna,e,lambert,lambert,university of texas,,university of texas san antonio,,NA,USA,,both$INST[both$editor_id==,1691," & both$INST==""",university of texas,"""",,"]<-""",university of texas san antonio,"""","both$INST[both$editor_id==1691 & both$INST==""university of texas""]<-""university of texas san antonio"""
ECOLOGY,1985,3229,richard,r,strathmann,strathmann,university of washington,,university of washington seattle,university of washington seattle,friday harbor,USA,,both$INST[both$editor_id==,3229," & both$INST==""",university of washington,"""",,"]<-""",university of washington seattle,"""","both$INST[both$editor_id==3229 & both$INST==""university of washington""]<-""university of washington seattle"""
AJB,2006,3179,richard,NA,olmstead,olmstead,university of washington,,university of washington seattle,university of washington seattle,NA,USA,,both$INST[both$editor_id==,3179," & both$INST==""",university of washington,"""",,"]<-""",university of washington seattle,"""","both$INST[both$editor_id==3179 & both$INST==""university of washington""]<-""university of washington seattle"""
AJB,1997,3487,sean,NA,thomas,thomas,university of washington,,university of washington seattle,university of washington seattle,NA,USA,,both$INST[both$editor_id==,3487," & both$INST==""",university of washington,"""",,"]<-""",university of washington seattle,"""","both$INST[both$editor_id==3487 & both$INST==""university of washington""]<-""university of washington seattle"""
AMNAT,1998,858,douglas,w,schemske,schemske,university of washington,,university of washington seattle,university of washington seattle,NA,USA,,both$INST[both$editor_id==,858," & both$INST==""",university of washington,"""",,"]<-""",university of washington seattle,"""","both$INST[both$editor_id==858 & both$INST==""university of washington""]<-""university of washington seattle"""
AMNAT,1996,3183,robert,t,paine,paine,university of washington,,university of washington seattle,university of washington seattle,NA,USA,,both$INST[both$editor_id==,3183," & both$INST==""",university of washington,"""",,"]<-""",university of washington seattle,"""","both$INST[both$editor_id==3183 & both$INST==""university of washington""]<-""university of washington seattle"""
