JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,NOTES,INST.CORRECTED,,,,
JAPE,2010,TBD,Esteban,NA,Fernande-Juricic,NA,,Purdue University,,,,
JANE,2013,1014,Eoin,NA,O'gorman,NA,,Queen Mary University of London,,,,
OIKOS,2007,2119,Lonnie,W,Aarsen,NA,,Queens University,,,,
OIKOS,2014,2119,Lonnie,W,Aarsen,NA,,Queens University,,,,
JBIOG,2008,518,Christine,NA,Maggs,NA,,Queens University Belfast,,,,
JBIOG,2014,518,Christine,NA,Maggs,NA,,Queens University Belfast,,,,
JECOL,2002,1296,Hans,NA,Dekroon,NA,,Radboud University Nijmegen,,,,
JECOL,2004,1296,Hans,NA,Dekroon,NA,,Radboud University Nijmegen,,,,
JECOL,2003,1794,Joop,NA,Ouborg,NA,,Radboud University Nijmegen,,,,
JECOL,2004,1794,Joop,NA,Ouborg,NA,,Radboud University Nijmegen,,,,
OECOL,2012,1026,Evan,NA,Siemann,NA,,Rice University,,,,
OECOL,2014,1026,Evan,NA,Siemann,NA,,Rice University,,,,
JBIOG,2011,1834,James,NA,Richardson,NA,,Royal Bot Garden Edinburgh,,,,
JBIOG,2014,1834,James,NA,Richardson,NA,,Royal Bot Garden Edinburgh,,,,
JBIOG,2000,1248,Ghillean,T,Prance,NA,,"Royal Botanic Gardens, Kew",,,,
JBIOG,2004,1248,Ghillean,T,Prance,NA,,"Royal Botanic Gardens, Kew",,,,
OECOL,2006,1677,Julia,NA,Koricheva,NA,,Royal Holloway University London,,,,
OECOL,2014,1677,Julia,NA,Koricheva,NA,,Royal Holloway University London,,,,
JAPE,1988,3730,W,NA,Day,NA,,"SILSOE RES INST,",,,,
JAPE,1996,3730,W,NA,Day,NA,,"SILSOE RES INST,",,,,
OECOL,2013,959,Elizabeth,NA,Elle,NA,,Simon Fraser University,,,,
AREES,1999,3505,Scott,NA,Wing,NA,,Smithonian NMNH,,,,
AREES,2003,3505,Scott,NA,Wing,NA,,Smithonian NMNH,,,,
OECOL,2014,102,Allen,NA,Herre,NA,,Smithsonian Tropical Research Institute,,,,
JANE,1994,1907,John,E,Thorpe,NA,,"SOAFD Fisheries Laboratory, Pitlochry PH1",,,,
AMNAT,1985,1340,Harold,A,Mooney,NA,,Stanford University,,,,
AMNAT,1990,1340,Harold,A,Mooney,NA,,Stanford University,,,,
AMNAT,1985,1847,Jonathan,NA,Roughgarden,NA,,Stanford University,,,,
AMNAT,1990,1847,Jonathan,NA,Roughgarden,NA,,Stanford University,,,,
BITR,1993,2605,Mary,Jane,West-Eberhard,NA,,STRI,,,,
BITR,1996,2605,Mary,Jane,West-Eberhard,NA,,STRI,,,,
JECOL,1987,130,Alan,J,Lack,NA,,Swansea University,,,,
OIKOS,1985,1048,F,NA,Andersson,NA,,SWEDISH UNIV AGR SCI,,,,
OIKOS,1989,1048,F,NA,Andersson,NA,,SWEDISH UNIV AGR SCI,,,,
OIKOS,2011,570,Chrsiter,NA,Solbrek,NA,,Swedish University of Agricultural Sciences,,,,
OIKOS,2012,519,Carlos,NA,Malian,NA,,Swiss Federal Institute of Aquatic Science & Technology (EAWAG),,,,
OIKOS,2014,519,Carlos,NA,Malian,NA,,Swiss Federal Institute of Aquatic Science & Technology (EAWAG),,,,
PLANTECOL,1985,2993,Reinhard,NA,Bornkamm,NA,,Technical University of Berlin,,,,
PLANTECOL,1989,2993,Reinhard,NA,Bornkamm,NA,,Technical University of Berlin,,,,
JBIOG,2014,1356,Hanno,NA,Schaefer,NA,,Technical University of Munich,,,,
OECOL,1985,1384,Hubert,NA,Ziegler,NA,,Technical University of Munich,,,,
OECOL,2007,1384,Hubert,NA,Ziegler,NA,,Technical University of Munich,,,,
OECOL,2014,3817,Wolfgang,W,Weisser,NA,,Technical University of Munich,,,,
JANE,2011,3406,Shai,NA,Meiri,NA,,Tel Aviv University,,,,
JANE,2014,3406,Shai,NA,Meiri,NA,,Tel Aviv University,,,,
BIOCON,1987,2672,Nc,NA,Morgan,NA,,Tour du Valat Biological Station,,,,
BIOCON,2004,2672,Nc,NA,Morgan,NA,,Tour du Valat Biological Station,,,,
AMNAT,1991,891,David,NA,Tilma,NA,,U Minn,,,,
AMNAT,1994,891,David,NA,Tilma,NA,,U Minn,,,,
OIKOS,2011,3901,Jonathan,W,Moore,NA,,UC Santa Cruz,,,,
OIKOS,2014,3901,Jonathan,W,Moore,NA,,UC Santa Cruz,,,,
JBIOG,1991,2191,Leif,NA,Kullman,NA,,Umea University,,,,
JBIOG,2004,2191,Leif,NA,Kullman,NA,,Umea University,,,,
OECOL,2011,3315,Sebastian,NA,Diehl,NA,,Umea University,,,,
BIOCON,1989,958,Eric,NA,Duffey,NA,,unaffiliated,,,,
BIOCON,2014,958,Eric,NA,Duffey,NA,,unaffiliated,,,,
