JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION,
LECO,2013,27,1,Editorial Board,G,,Cumming,,South Africa,,SE,, Percy FitzPatrick Institute of African Ornithology Cape Town     ,
LECO,2013,27,1,Editorial Board,G,,Foody,,UK,,SE,, University of Nottingham  Nottingham   ,
LECO,2013,27,1,Editorial Board,G,,Guntenspergen,,USA,,SE,, USGS/NRII  Duluth  MN  ,
LECO,2013,27,1,Editorial Board,G,M,Henebry,,USA,,SE,, South Dakota State University  Brookings  SD  ,
LECO,2013,27,1,Editorial Board,G,D,Jenerette,,USA,,SE,, University of California  Riverside  CA  ,
LECO,2013,27,1,Editorial Board,G,,Zurlini,,Italy,,SE,, University of Salento  Lecce   ,
LECO,2013,27,1,Editorial Board,H,D,Allen,,UK,,SE,, University of Cambridge  Cambridge   ,
LECO,2013,27,1,Editorial Board,H,,He,,USA,,SE,, University of Missouri  Columbia  MO  ,
LECO,2013,27,1,Editorial Board,J,,Bolliger,,Switzerland,,SE,, Swiss Federal Research Institute WSL  Birmensdorf   ,
LECO,2013,27,1,Editorial Board,J,,Chen,,USA,,SE,, University of Toledo  Toledo  OH  ,
LECO,2013,27,1,Editorial Board,J,,Hepinstall-Cymerman,,USA,,SE,, University of Georgia  Athens  GA  ,
LECO,2013,27,1,Editorial Board,J,D,Holland,,USA,,SE,, Purdue University  West Lafayette  IN  ,
LECO,2013,27,1,Editorial Board,J,,Krauss,,Germany,,SE,, University of Wiirzburg  Wiirzburg   ,
LECO,2013,27,1,Editorial Board,J,A,Kupfer,,USA,,SE,, University of South Carolina  Columbia  SC  ,
LECO,2013,27,1,Editorial Board,J,A,Wiens,,USA,,SE,, PRBO Conservation Science  Petaluma  CA  ,
LECO,2013,27,1,Editorial Board,J,R,Miller,,USA,,SE,, University of Illinois  Urbana  IL  ,
LECO,2013,27,1,Editorial Board,J,M,Overton,,New Zealand,,SE,, Landcare Research  Hamilton   ,
LECO,2013,27,1,Editorial Board,J,D,Wickham,,USA,,SE,, Environmental Protection Agency  Research  Triangle Park  NC,
LECO,2013,27,1,Editorial Board,J-P,,Metzger,,Brazil,,SE,, University of Sao Paulo    ,
LECO,2013,27,1,Editorial Board,K,J,Gutzwiller,,USA,,SE,, Baylor University  Waco  TX  ,
LECO,2013,27,1,Editorial Board,K,,Moloney,,USA,,SE,, Iowa State University  Ames  IA  ,
LECO,2013,27,1,Editorial Board,K,,Riitters,,USA,,SE,, USDA Forest Service  Research Triangle Park  NC  ,
LECO,2013,27,1,Editorial Board,L,B,Johnson,,USA,,SE,, University of Minnesota  Duluth  MN  ,
LECO,2013,27,1,Editorial Board,L,,Musacchio,,USA,,SE,, University of Minnesota  Minneapolis  MN  ,
LECO,2013,27,1,Editorial Board,L,A,Schulte,,USA,,SE,, Iowa State University  Ames  IA  ,
LECO,2013,27,1,Editorial Board,M,,Belisle,,Canada,,SE,, University of Sherbrooke  Sherbrooke   ,
LECO,2013,27,1,Editorial Board,M,G,Turner,,USA,,SE,, University of Wisconsin  Madison  WI  ,
LECO,2013,27,1,Editorial Board,N,,Schumaker,,USA,,SE,, US Environmental Protection Agency  Corvallis OR  ,
LECO,2013,27,1,Editorial Board,O,,Schweiger,,Germany,,SE,, Helmholtz Centre for Environmental Research  UFZ  Halle  ,
LECO,2013,27,1,Editorial Board,P,H,Verburg,,The Netherlands,,SE,, Vrije Universiteit Amsterdam    ,
LECO,2013,27,1,Editorial Board,R,G,Pontius,,USA,,SE,, Jr.  Clark University  Worcester  MA ,
LECO,2013,27,1,Editorial Board,R,M,Scheller,,USA,,SE,, Portland State University  Portland  OR  ,
LECO,2013,27,1,Editorial Board,R,,Schooley,,USA,,SE,, University of Illinois  Urbana  IL  ,
LECO,2013,27,1,Editorial Board,S,E,Gergel,,Canada,,SE,, University of British Columbia  Vancouver   ,
LECO,2013,27,1,Editorial Board,S,L,Huang,,Taiwan,,SE,, National Taipei University ,
