journal,year,editor_id,first_name,middle_name,last_name,inst,notes
najfm,2013,2024,kevin,NA,kapuscinski,NA,na / na
najfm,2014,2024,kevin,NA,kapuscinski,NA,na / na
najfm,2013,2428,matthew,NA,keefer,NA,na / na
najfm,2014,2428,matthew,NA,keefer,NA,na / na
najfm,2007,986,ernest,NA,keeley,NA,na / na
najfm,2008,986,ernest,NA,keeley,NA,na / na
najfm,1996,3757,william,e,kelso,NA,na / na
najfm,1998,3757,william,e,kelso,NA,na / na
najfm,2004,1666,jeff,NA,kershner,NA,na / na
najfm,2005,1666,jeff,NA,kershner,NA,na / na
najfm,1995,303,barbara,a,knuth,NA,na / na
najfm,2014,1681,jud,NA,kratzer,NA,na / na
najfm,1981,1325,h,a,larkins,NA,na / na
najfm,1982,1325,h,a,larkins,NA,na / na
najfm,2001,1697,joseph,g,larscheid,NA,na / na
najfm,2004,1697,joseph,g,larscheid,NA,na / na
najfm,1991,3131,robb,NA,leary,NA,na / na
najfm,1992,3131,robb,NA,leary,NA,na / na
najfm,2011,506,christopher,m,legault,NA,na / na
najfm,2013,506,christopher,m,legault,NA,na / na
najfm,1996,3389,steven,a,leider,NA,na / na
najfm,2008,3389,steven,a,leider,NA,na / na
najfm,2003,2661,nigel,NA,lester,NA,na / na
najfm,2004,2661,nigel,NA,lester,NA,na / na
najfm,2001,1716,jason,s,link,NA,na / na
najfm,2009,1716,jason,s,link,NA,na / na
najfm,2013,508,christine,a,lipsky,NA,na / na
najfm,1987,509,charles,r,liston,NA,na / na
najfm,1988,509,charles,r,liston,NA,na / na
najfm,1998,768,david,k,loomis,NA,na / na
najfm,1999,768,david,k,loomis,NA,na / na
najfm,2001,1100,frank,NA,lupi,NA,na / na
najfm,2002,1100,frank,NA,lupi,NA,na / na
najfm,1990,1731,john,NA,lyons,NA,na / na
najfm,1991,1731,john,NA,lyons,NA,na / na
najfm,1998,517,charles,p,madenjian,NA,na / na
najfm,2008,517,charles,p,madenjian,NA,na / na
najfm,2011,1734,john,a,magee,NA,na / na
najfm,2013,1734,john,a,magee,NA,na / na
najfm,2003,774,daniel,NA,magoulick,NA,na / na
najfm,2004,774,daniel,NA,magoulick,NA,na / na
najfm,2008,2045,kristin,l,maki,NA,na / na
najfm,2009,2045,kristin,l,maki,NA,na / na
najfm,2007,778,david,j,manning,NA,na / na
najfm,2008,778,david,j,manning,NA,na / na
najfm,1993,1741,j,ellen,marsden,NA,na / na
najfm,1994,1741,j,ellen,marsden,NA,na / na
najfm,1994,2729,o,eugene,maughan,NA,na / na
najfm,1995,2729,o,eugene,maughan,NA,na / na
najfm,1993,319,bonnie,j,mccay,NA,na / na
najfm,1994,319,bonnie,j,mccay,NA,na / na
najfm,1994,3600,thomas,s,mccomish,NA,na / na
najfm,1995,3600,thomas,s,mccomish,NA,na / na
najfm,1999,525,c,scott,mccutcheon,NA,na / na
najfm,2000,525,c,scott,mccutcheon,NA,na / na
najfm,2007,2471,michael,c,mcinerny,NA,na / na
najfm,2013,2471,michael,c,mcinerny,NA,na / na
najfm,1987,1752,john,d,mcintyre,NA,na / na
