last_name,first_name,inst,year,journal
bardgett,richard,university of lancaster,2004,jecol
bardgett,richard,lancaster university,2007,jecol
bardgett,richard,university of manchester,2014,jecol
bayne,b,institute of marine environment and resources,1985,jape
bayne,b,plymouth marine laboratory,1989,jape
bazzaz,fakhri,university of illinois,1985,oecol
bazzaz,fakhri,harvard university,1987,oecol
bearhop,stuart,queens university belfast,2006,jane
bearhop,stuart,university of exeter,2008,jane
belovsky,gary,utah state university,1994,conbio
belovsky,gary,university of notre dame,2003,conbio
bence,james,NA,1993,najfm
bence,james,michigan state university,2002,ecology
benkman,craig,new mexico state university,2003,evol
benkman,craig,university of wyoming,2006,funecol
bennett,albert,michigan state university,1994,evol
bennett,albert,university of california irvine,1995,evol
benton,tim,university of aberdeen,2004,oikos
benton,tim,university of leeds,2006,jane
berger,joel,university of nevada reno,1995,conbio
berger,joel,wildlife conservation society,2003,conbio
berger,uta,dresden university of technology,2009,amnat
berger,uta,university of dresden,2011,plantecol
bergmeier,edwin,university of gottingen,2004,plantecol
bergmeier,edwin,university of freiburg,2006,plantecol
bibby,c,royal society for protection of birds,1990,biocon
bibby,c,birdlife international,1994,biocon
bignell,david,university of london westfield,1985,jape
bignell,david,queen mary university of london,1991,jape
blanckenhorn,wolf,university of zurich irchel,2009,funecol
blanckenhorn,wolf,universitat zurich irchel,2013,evol
blem,charles,NA,1985,condor
blem,charles,virginia commonwealth university,2001,auk
bluthgen,nico,university of wurzburg,2009,bitr
bluthgen,nico,technical university of darmstadt,2013,bitr
bolen,eric,texas tech university,1988,conbio
bolen,eric,university of north carolina wilmington,1990,conbio
boughman,janette,university of wisconsin madison,2009,amnat
boughman,janette,michigan state university,2015,evol
bowers,m,university of colorado boulder,1993,oecol
bowers,m,university of virginia,2005,leco
bowers,m,usda cooperative state research education and extension service,2007,leco
bowman,david,northern territory university,1998,bitr
bowman,david,charles darwin university,2005,jbiog
bowman,david,university of tasmania,2009,jbiog
box,elgene,university of georgia,1990,plantecol
box,elgene,university of georgia athens,1991,plantecol
boyd,ian,nerc british antarctic survey,2000,jzool
boyd,ian,university of st andrews,2002,jzool
bradshaw,corey,charles darwin university,2006,jane
bradshaw,corey,university of adelaide,2009,bitr
brawn,jeffrey,illinois natural history survey,1999,auk
brawn,jeffrey,university of illinois,2009,condor
breuste,j,university of leipzig,1999,leco
breuste,j,salzburg university,2003,leco
brodie,edmund,indiana university bloomington,1998,evol
brodie,edmund,university of virginia,2015,amnat
bronte,charles,NA,2011,najfm
bronte,charles,usfws united states fish and wildlife service,2014,najfm
brooker,rob,centre for ecology and hydrology,2006,jecol
brooker,rob,macaulay land use research institute,2007,jecol
brose,ulrich,technical university of darmstadt,2008,oikos
brose,ulrich,university of gottingen,2011,oikos
brown,daniel,michigan state university,1999,leco
brown,daniel,university of michigan,2000,leco
brown,james,university of arizona,1985,ecology
brown,james,university of new mexico,1992,jbiog
brown,joel,university of illinois chicago,2000,ecology
brown,joel,university of illinois,2003,amnat
brown,sandra,university of illinois,1993,bitr
brown,sandra,usepa environmental protection agency,1998,fem
buchmann,nina,max planck institute of biogeochemistry,2002,oecol
buchmann,nina,eth swiss federal institute of technology zurich,2003,gcb
bullock,james,institute of terrestrial ecology,2000,jape
bullock,james,nerc centre for ecology and hydrology wallingford,2012,oikos
burdon,jeremy,australian national university,1991,oecol
burdon,jeremy,csiro forest research,2005,jecol
burnham,kenneth,colorado state university,1990,ecology
burnham,kenneth,usgs colorado cooperative fish and wildlife unit,1991,ecology
cadotte,marc,university of tennessee,2006,jape
cadotte,marc,university of toronto,2010,jape
cain,michael,new mexico state university,2000,ecology
cain,michael,rose hulman institute of technology,2002,ecology
cardinale,bradley,university of california santa barbara,2009,ecology
cardinale,bradley,university of michigan,2012,ecology
carrada,g,stazione zoologica anton dohrn,1985,marecol
carrada,g,universita die napoli frederico ii,1990,marecol
cassola,aw,world wildlife fund,1985,biocon
cassola,aw,ministry of environment,1998,biocon
causton,david,aberystwyth university,1991,jecol
causton,david,university of wales,1993,jecol
chaneton,enrique,universidad de buenos aires,2005,plantecol
chaneton,enrique,institute for agricultural plant physiology and ecology,2006,plantecol
chapin,f,university of alaska fairbanks,1985,oecol
chapin,f,university of california berkeley,1990,oecol
chapman,colin,university of florida,2001,bitr
chapman,colin,mcgill university,2004,bitr
chapman,russell,louisiana state university,1996,ajb
chapman,russell,university of california san diego,2006,ajb
chen,jiquan,university of toledo,2008,fem
chen,jiquan,michigan state university,2014,leco
chesson,peter,ohio state university,1985,ecology
chesson,peter,australian national university,1991,amnat
cheverud,james,northwestern university,1986,evol
cheverud,james,washington university in st louis,2000,evol
chown,steven,university of pretoria,2000,funecol
chown,steven,university of stellenbosch,2002,funecol
christianson,michael,university of kansas,1995,ajb
christianson,michael,university of california berkeley,2001,ajb
clarke,andrew,university of cambridge,2000,funecol
clarke,andrew,nerc british antarctic survey,2007,amnat
clarke,ralph,institute of terrestrial ecology,1989,jape
clarke,ralph,freshwater biological association,1990,jape
clough,yann,university of gottingen,2008,jape
clough,yann,cec lund,2015,jape
clutton-brock,juliet,natural history museum london,1995,jzool
