JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,INST,COUNTRY,GENDER,CATEGORY,NOTES
FUNECOL,1999,13,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,2006,20,1,associate editor,Carol,L,Boggs,Carol L Boggs,Stanford,USA,F,SE,
FUNECOL,2007,21,2,associate editor,Carol,L,Boggs,Carol L Boggs,Stanford,USA,F,SE,
FUNECOL,2008,22,1,associate editor,Carol,L,Boggs,Carol L Boggs,Stanford,USA,F,SE,
FUNECOL,2009,23,1,guest editor,Carol,L,Boggs,Carol L Boggs,Stanford,USA,F,,???
FUNECOL,2015,29,1,associate editor,Caroline,,Williams,Caroline Williams,California,USA,F,SE,
FUNECOL,2005,19,1,editor,Charles,,Fox,Charles Fox,Kentucky,USA,M,EIC,
FUNECOL,2006,20,1,editor,Charles,,Fox,Charles Fox,Kentucky,USA,M,EIC,
FUNECOL,2007,21,2,editor,Charles,,Fox,Charles Fox,Kentucky,USA,M,EIC,
FUNECOL,2008,22,1,editor,Charles,,Fox,Charles Fox,Kentucky,USA,M,EIC,
FUNECOL,2009,23,1,editor,Charles,,Fox,Charles Fox,Kentucky,USA,M,EIC,
FUNECOL,2010,24,1,editor,Charles,,Fox,Charles Fox,Kentucky,USA,M,EIC,
FUNECOL,2011,25,1,editor,Charles,,Fox,Charles Fox,Kentucky,USA,M,EIC,
FUNECOL,2012,26,1,editor,Charles,,Fox,Charles Fox,Kentucky,USA,M,EIC,
FUNECOL,2013,27,1,editor,Charles,,Fox,Charles Fox,Kentucky,USA,M,EIC,
FUNECOL,2014,28,1,editor,Charles,,Fox,Charles Fox,Kentucky,USA,M,EIC,
FUNECOL,2015,29,1,editor,Charles,,Fox,Charles Fox,Kentucky,USA,M,EIC,
FUNECOL,2006,20,1,associate editor,Christian,,Damgaard,Christian Damgaard,NERI,Denmark,M,SE,
FUNECOL,2007,21,2,associate editor,Christian,,Damgaard,Christian Damgaard,NERI,Denmark,M,SE,
FUNECOL,2008,22,1,associate editor,Christian,,Damgaard,Christian Damgaard,NERI,Denmark,M,SE,
FUNECOL,2009,23,1,associate editor,Christian,,Damgaard,Christian Damgaard,NERI,Denmark,M,SE,
FUNECOL,1987,1,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1988,2,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1989,3,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1990,4,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1991,5,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
