JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,NOTES
BIOCON,1991,55,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1992,59,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1993,64,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1994,67,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1995,71,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1996,75,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1997,79,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1998,83,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1999,87,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,2006,133,1,342,Bob,,Pressey,Bob Pressey,EB,SE,University of Queensland,Ecology Centre,missing,QLD,Australia,AUS,2005 New South Wales Department Environment and Conservation
BIOCON,2007,140,1,342,Bob,,Pressey,Bob Pressey,EB,SE,,,,,Australia,AUS,
BIOCON,2008,141,1,342,Bob,,Pressey,Bob Pressey,SE,SE,,,,,Australia,AUS,
BIOCON,2009,142,1,342,Bob,,Pressey,Bob Pressey,SE,SE,,,,,Australia,AUS,
BIOCON,2010,143,1,361,Bo,,Soderstrom,Bo Soderstrom,AE,AE,Swedish University of Agricultural Sciences,Department of Ecology,Uppsala,missing,Sweden,SWE,
BIOCON,2012,145,1,361,Bo,,Soderstrom,Bo Soderstrom,SE,SE,Swedish University of Agricultural Sciences,,Uppsala,missing,Sweden,SWE,
BIOCON,2013,157,1,361,Bo,,Soderstrom,Bo Soderstrom,SE,SE,,,,,Sweden,SWE,
BIOCON,1990,51,1,398,C,,BIBBY,C BIBBY,EB,SE,The Royal Society for the Protection of Birds,missing,Bedfordshire,missing,UK,GBR,
BIOCON,1991,55,1,398,C,,BIBBY,C BIBBY,EB,SE,,,,,UK,GBR,
BIOCON,1992,59,1,398,C,,BIBBY,C BIBBY,EB,SE,,,,,UK,GBR,
BIOCON,1993,64,1,398,C,,BIBBY,C BIBBY,EB,SE,,,,,UK,GBR,
BIOCON,1994,67,1,398,C,,BIBBY,C BIBBY,EB,SE,Birdlife International,missing,Cambridge,missing,UK,GBR,
BIOCON,1995,71,1,398,C,,BIBBY,C BIBBY,EB,SE,,,,,UK,GBR,
BIOCON,1996,75,1,398,C,,BIBBY,C BIBBY,EB,SE,,,,,UK,GBR,
BIOCON,1997,79,1,398,C,,BIBBY,C BIBBY,EB,SE,,,,,UK,GBR,
BIOCON,1998,83,1,398,C,,BIBBY,C BIBBY,EB,SE,,,,,UK,GBR,
BIOCON,1999,87,1,398,C,,BIBBY,C BIBBY,EB,SE,,,,,UK,GBR,
BIOCON,2000,92,1,398,C,,BIBBY,C BIBBY,EB,SE,,,,,UK,GBR,
BIOCON,2001,97,1,398,C,,BIBBY,C BIBBY,EB,SE,,,,,UK,GBR,
BIOCON,2002,103,1,398,C,,BIBBY,C BIBBY,EB,SE,,,,,UK,GBR,
BIOCON,2012,145,1,451,Carlos,Roberto,Fonseca,Carlos Roberto Fonseca,SE,SE,Universidade Federal do Rio Grande do Norte (UFRN),missing,missing,missing,Brazil,BRA,
BIOCON,2013,157,1,451,Carlos,Roberto,Fonseca,Carlos Roberto Fonseca,SE,SE,,,,,Brazil,BRA,
BIOCON,2014,169,NA,451,Carlos,R,Fonseca,Carlos R Fonseca,EB,SE,,,,,Brazil,BRA,
