no,JOURNAL,YEAR,Volume,Issue,Title,FIRST_NAME,MIDDLE NAME,LAST_NAME,NAME,INST,UNIT,CITY,STATE,COUNTRY
522,MARECOL,1988,9,1,Assistant Editor,,,,E. Fresi,Universita di Napoli,Dipartimento di Zoologia,,Napoli,Italy
521,MARECOL,1988,9,1,Editors in Chief,,,,R. Riedl,,,,,
520,MARECOL,1988,9,1,Editors in Chief,,,,J. Ott,,,,,
519,MARECOL,1989,10,1,Editorial Board,,,,A. Zhirmunsky,,,,,
518,MARECOL,1989,10,1,Editorial Board,,,,T. Smayda,,,,,
517,MARECOL,1989,10,1,Editorial Board,,,,M. Sara,,,,,
516,MARECOL,1989,10,1,Editorial Board,,,,K. Rutzler,,,,,
515,MARECOL,1989,10,1,Editorial Board,,,,F. D. Por,,,,,
514,MARECOL,1989,10,1,Editorial Board,,,,R. Margalef,,,,,
513,MARECOL,1989,10,1,Editorial Board,,,,D. H. H. Kuhlmann,,,,,
512,MARECOL,1989,10,1,Editorial Board,,,,T. Kikuchi,,,,,
511,MARECOL,1989,10,1,Editorial Board,,,,T. S. Hopkins,,,,,
510,MARECOL,1989,10,1,Editorial Board,,,,R. Hessler,,,,,
509,MARECOL,1989,10,1,Editorial Board,,,,Y. Halim,,,,,
508,MARECOL,1989,10,1,Editorial Board,,,,R. W. Grigg,,,,,
507,MARECOL,1989,10,1,Editorial Board,,,,J. S. Gray,,,,,
506,MARECOL,1989,10,1,Editorial Board,,,,T. Gamulin,,,,,
505,MARECOL,1989,10,1,Editorial Board,,,,H. Fricke,,,,,
504,MARECOL,1989,10,1,Editorial Board,,,,T. Fenchel,,,,,Denmark
503,MARECOL,1989,10,1,Editorial Board,,,,P. Colantoni,,,,,
502,MARECOL,1989,10,1,Editorial Board,,,,G. C. Carrada,,,,,
501,MARECOL,1989,10,1,Editorial Board,,,,C. F. Boudouresque,,,,,
500,MARECOL,1989,10,1,Editorial Board,,,,B. Battaglia,,,,,
499,MARECOL,1989,10,1,Editorial Board,,,,H. A. Salem,,,,,
498,MARECOL,1989,10,1,Assistant Editor,,,,E. Fresi,,,,,
497,MARECOL,1989,10,1,Editors in Chief,,,,R. Riedl,,,,,
496,MARECOL,1989,10,1,Editors in Chief,,,,J. Ott,,,,,
495,MARECOL,1990,11,1,Editorial Board,,,,A. Zhirmunsky,,,,,
494,MARECOL,1990,11,1,Editorial Board,,,,C. Tomas,Florida Dept. of Natural Resources Bureau of Marine Research,,St. Petersburg,FL,USA
493,MARECOL,1990,11,1,Editorial Board,,,,M. Sara,,,,,
492,MARECOL,1990,11,1,Editorial Board,,,,K. Rutzler,,,,,
491,MARECOL,1990,11,1,Editorial Board,,,,F. D. Por,,,,,
490,MARECOL,1990,11,1,Editorial Board,,,,P. G. Moore,University Marine Biological Station Millport,,,,UK
489,MARECOL,1990,11,1,Editorial Board,,,,D. Marino,"Stazione Zoologica ""Anton Dohrn""",,Naples,,Italy
488,MARECOL,1990,11,1,Editorial Board,,,,D. H. H. Kuhlmann,,,,,
487,MARECOL,1990,11,1,Editorial Board,,,,A. Ianora,"Stazione Zoologica ""Anton Dohrn""",,Naples,,Italy
486,MARECOL,1990,11,1,Editorial Board,,,,H. Fricke,Max-Planck-Institut fur Verhaltensphysiologie,,Seewiesen,Tutzing,Germany
485,MARECOL,1990,11,1,Editorial Board,,,,H. Felbeck,University of California San Diego,Scripps Institution of Oceanography,La Jolla,CA,USA
484,MARECOL,1990,11,1,Editorial Board,,,,M. Estrada,Instituto de Ciencias del Mar CSIC,,,Barcelona,Spain
483,MARECOL,1990,11,1,Editorial Board,,,,R. Elmgren,University of Stockholm,Department of Zoology,,Stockholm,Sweden
482,MARECOL,1990,11,1,Editorial Board,,,,A. Eleftheriou,Institute of Marine Biology of Crete,,,Iraklio,Greece
481,MARECOL,1990,11,1,Editorial Board,,,,G. C. Carrada,"Universita die Napoli ""Frederico II""",Dipartimento di Zoologia,Naples,,Italy
480,MARECOL,1990,11,1,Editorial Board,,,,C. F. Boudouresque,,,,,
479,MARECOL,1990,11,1,Editorial Board,,,,A. Benovic,Biological Institute,,,,Yugoslavia
478,MARECOL,1990,11,1,Assistant Editor,,,,L. Mazzella,"Stazione Zoologica ""Anton Dohrn""",Laboratorio di Ecologia del Benthos,Ischia Porto,,Italy
477,MARECOL,1990,11,1,Editors in Chief,,,,R. Riedl,,,,,
476,MARECOL,1990,11,1,Editors in Chief,,,,J. Ott,,,,,
475,MARECOL,1991,12,2,Editorial Board,,,,A. Zhirmunsky,,,,,
474,MARECOL,1991,12,2,Editorial Board,,,,C. Tomas,,,,,
473,MARECOL,1991,12,2,Editorial Board,,,,M. Sara,,,,,
472,MARECOL,1991,12,2,Editorial Board,,,,K. Rutzler,,,,,
471,MARECOL,1991,12,2,Editorial Board,,,,F. D. Por,,,,,
470,MARECOL,1991,12,2,Editorial Board,,,,P. G. Moore,,,,,
469,MARECOL,1991,12,2,Editorial Board,,,,D. Marino,,,,,
468,MARECOL,1991,12,2,Editorial Board,,,,D. H. H. Kuhlmann,,,,,
467,MARECOL,1991,12,2,Editorial Board,,,,A. Ianora,,,,,
466,MARECOL,1991,12,2,Editorial Board,,,,H. Fricke,,,,,
465,MARECOL,1991,12,2,Editorial Board,,,,H. Felbeck,,,,,
464,MARECOL,1991,12,2,Editorial Board,,,,M. Estrada,,,,,
463,MARECOL,1991,12,2,Editorial Board,,,,R. Elmgren,,,,,
462,MARECOL,1991,12,2,Editorial Board,,,,A. Eleftheriou,,,,,
461,MARECOL,1991,12,2,Editorial Board,,,,G. C. Carrada,,,,,
460,MARECOL,1991,12,2,Editorial Board,,,,C. F. Boudouresque,,,,,
459,MARECOL,1991,12,2,Editorial Board,,,,A. Benovic,,,,,
458,MARECOL,1991,12,2,Assistant Editor,,,,L. Mazzella,,,,,
457,MARECOL,1991,12,2,Editors in Chief,,,,R. Riedl,,,,,
456,MARECOL,1991,12,2,Editors in Chief,,,,J. Ott,,,,,
455,MARECOL,1992,13,1,Editorial Board,,,,A. Zhirmunsky,,,,,
454,MARECOL,1992,13,1,Editorial Board,,,,C. Tomas,,,,,
453,MARECOL,1992,13,1,Editorial Board,,,,M. Sara,,,,,
452,MARECOL,1992,13,1,Editorial Board,,,,K. Rutzler,,,,,
451,MARECOL,1992,13,1,Editorial Board,,,,F. D. Por,,,,,
450,MARECOL,1992,13,1,Editorial Board,,,,P. G. Moore,,,,,
449,MARECOL,1992,13,1,Editorial Board,,,,D. Marino,,,,,
448,MARECOL,1992,13,1,Editorial Board,,,,D. H. H. Kuhlmann,,,,,
447,MARECOL,1992,13,1,Editorial Board,,,,A. Ianora,,,,,
446,MARECOL,1992,13,1,Editorial Board,,,,H. Fricke,,,,,
445,MARECOL,1992,13,1,Editorial Board,,,,H. Felbeck,,,,,
444,MARECOL,1992,13,1,Editorial Board,,,,M. Estrada,,,,,
443,MARECOL,1992,13,1,Editorial Board,,,,R. Elmgren,,,,,
442,MARECOL,1992,13,1,Editorial Board,,,,A. Eleftheriou,,,,,
441,MARECOL,1992,13,1,Editorial Board,,,,G. C. Carrada,,,,,
440,MARECOL,1992,13,1,Editorial Board,,,,C. F. Boudouresque,,,,,
439,MARECOL,1992,13,1,Editorial Board,,,,A. Benovic,,,,,
438,MARECOL,1992,13,1,Assistant Editor,,,,L. Mazzella,,,,,
437,MARECOL,1992,13,1,Editors in Chief,,,,R. Riedl,,,,,
436,MARECOL,1992,13,1,Editors in Chief,,,,J. Ott,,,,,
435,MARECOL,1993,14,1,Editorial Board,,,,A. Zhirmunsky,,,,,
434,MARECOL,1993,14,1,Editorial Board,,,,C. Tomas,,,,,
433,MARECOL,1993,14,1,Editorial Board,,,,M. Sara,,,,,
432,MARECOL,1993,14,1,Editorial Board,,,,K. Rutzler,,,,,
431,MARECOL,1993,14,1,Editorial Board,,,,F. D. Por,,,,,
