JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,COUNTRY,GENDER,CATEGORY,NOTES
JZ,2005,265,1,Editor,John L. Gittleman,John,L,Gittleman,University of Virginia,USA,M,,
JZ,2006,,1,Editor,John L. Gittleman,John,L,Gittleman,University of Virginia,USA,M,,
JZ,1996,238,,Editorial Board,P.H. Harvey,P,H,Harvey,University of Oxford,England,,,
JZ,1997,241,,Editorial Board,P.H. Harvey,P,H,Harvey,University of Oxford,England,,,
JZ,1998,244,1,Editorial Board,P.H. Harvey,P,H,Harvey,University of Oxford,England,,,
JZ,1999,247,1,Editorial Board,P.H. Harvey,P,H,Harvey,University of Oxford,England,,,
JZ,2000,250,1,Editorial Board,P.H. Harvey,P,H,Harvey,University of Oxford,England,,,
JZ,1993,229,,Publications Committee,P.J. Herring,P,J,Herring,,,,,
JZ,1994,232,,Publications Committee,P.J. Herring,P,J,Herring,,,,,
JZ,1995,235,,Publications Committee,P.J. Herring,P,J,Herring,,,,,
JZ,1996,238,,Editorial Board,R.R. Hofmann,R,R,Hofmann,IZW,Germany,,,
JZ,1997,241,,Editorial Board,R.R. Hofmann,R,R,Hofmann,IZW,Germany,,,
JZ,1998,244,1,Editorial Board,R.R. Hofmann,R,R,Hofmann,IZW,Germany,,,
JZ,1999,247,1,Editorial Board,R.R. Hofmann,R,R,Hofmann,IZW,Germany,,,
JZ,2000,250,1,Editorial Board,R.R. Hofmann,R,R,Hofmann,IZW,Germany,,,
JZ,2002,256,1,Consultant Editors,W.C. Jordan,W,C,Jordan,Zoological Society of London,England,,,
JZ,2003,259,1,Consultant Editors,W.C. Jordan,W,C,Jordan,Zoological Society of London,England,,,
JZ,2005,265,1,Consultant Editors,W.C. Jordan,W,C,Jordan,Zoological Society of London,England,,,
JZ,2006,,1,Consultant Editors,W.C. Jordan,W,C,Jordan,Zoological Society of London,England,,,
JZ,1987,211,N/A,Assistant Editor,Unity M. M. McDonnell,Unity,MM,McDonnell,,,U,,
JZ,1988,214,N/A,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1989,216,N/A,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,, ,,,
