FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,EDITOR_TITLE,INST,UNIT,CITY,COUNTRY,NOTES,STATE,YEAR
Allan,J,Backer,,Editorial Board,Royal Ontario Museum,None given,None given,None given,,None given,1999
Keith,L,Bildstein,,Editorial Board,Hawk Mountain Sanctuary,None given,None given,None given,,None given,1999
Carlos,,Bosque,,Editorial Board, Universidad Simon Bolivar,None given,None given,None given,,None given,1999
Jeffrey,D,Brawn,,Editorial Board,Illinois Natural History Survey,None given,None given,None given,,None given,1999
Etienne,,Danchin,,Editorial Board,Universite Pierre et Marie Curie,None given,None given,None given,,None given,1999
Kenneth,P,Dial ,,Editorial Board,University of Montana,None given,None given,None given,,None given,1999
Morne,D,Plessis,,Editorial Board,Percy Fitzpatrick Institute,None given,None given,None given,,None given,1999
Jan,,Ekman,,Editorial Board,Uppsala  University,None given,None given,None given,,None given,1999
Donald,E,Kroodsma,,Editorial Board,University of Massachusetts,None given,None given,None given,,None given,1999
Bette,A,Loiselle,,Editorial Board,University of Missouri,None given,None given,None given,,None given,1999
Frank,R,Moore,,Editorial Board,University of Southern Mississippi,None given,None given,None given,,None given,1999
Stephen,I,Rothstein,,Editorial Board,University of California,None given,None given,None given,,None given,1999
James,S,Sedinger,,Editorial Board,University of Alaska,None given,None given,None given,,None given,1999
Jeffrey,R,Walters,,Editorial Board,Virginia Tech  University,None given,None given,None given,,None given,1999
Wesley,W,Weathers,,Editorial Board,University of California,None given,None given,None given,,None given,1999
John,C,Wingfield,,Editorial Board,University of Washington,None given,None given,None given,,None given,1999
Robert,M,Zink,,Editorial Board,University of Minnesota,None given,None given,None given,,None given,1999
Carl,D,Marti,,Book Review Editorial,Weber State  University,Department of Zoology,Ogden,USA,,Utah,1999
Thomas,E,Martin,,Outgoing Editor,University of Montana,None given,None given,None given,,None given,2000
Jeffrey,S,Marks,,Interim Editor,University of Montana,Montana Cooperative Wildlife Research Unit,Missoula,USA,,Montana,2000
Alison,E H,Perkins,,Editorial Assistant,None given,None given,None given,None given,,None given,2000
Todd ,W,Arnold,,Editorial Board,Ducks  Universitynlimited Canada,None given,None given,None given,,None given,2000
Keith,L,Bildstein,,Editorial Board,Hawk Mountain Sanctuary,None given,None given,None given,,None given,2000
Carlos,,Bosque,,Editorial Board, Universidad Simon Bolivar,None given,None given,None given,,None given,2000
Jeffrey,D,Brawn,,Editorial Board ,Illinois Natural History Survey,None given,None given,None given,,None given,2000
Etienne,,Danchin,,Editorial Board, UniversityPierre et Marie Curie,None given,None given,None given,,None given,2000
Kenneth ,P,Dial,,Editorial Board,University of Montana,None given,None given,None given,,None given,2000
Morne,D,Plessis,,Editorial Board,Percy Fitzpatrick Institute,None given,None given,None given,,None given,2000
Jan,,Ekman,,Editorial Board,Uppsala  University,None given,None given,None given,,None given,2000
Donald,E,Kroodsma,,Editorial Board,University of Massachusetts,None given,None given,None given,,None given,2000
Bette,,Loiselle,,Editorial Board,University of Missouri,None given,None given,None given,,None given,2000
Robert,D,Montgomerie,,Editorial Board,Queen's  University,None given,None given,None given,,None given,2000
Frank,R,Moore,,Editorial Board,University of Southern Mississippi,None given,None given,None given,,None given,2000
Richard,O,Prum,,Editorial Board,University of Kansas,None given,None given,None given,,None given,2000
Stephen,I,Rothstein,,Editorial Board,University of California,None given,None given,None given,,None given,2000
James,S,Sedinger,,Editorial Board,University of ALaska,None given,None given,None given,,None given,2000
Frederick,H,Sheldon,,Editorial Board,Louisiana State  University,None given,None given,None given,,None given,2000
Jeffrey ,R,Walters,,Editorial Board,Virginia Tech  University,None given,None given,None given,,None given,2000
Wesley,W,Weathers,,Editorial Board,University of California,None given,None given,None given,,None given,2000
John ,C,Wingfield,,Editorial Board,University of Washington,None given,None given,None given,,None given,2000
Robert,M,Zink,,Editorial Board,University of Minnesota,None given,None given,None given,,None given,2000
Rebecca,L,Holberton,,Book Review Editor,University of Mississippi,Department of Biology,None given,USA,,None given,2000
Kimberly,G,Smith,,Editor,University of Arkansas,Department of Biological Sciences,Fayetteville,USA,,Arkansas,2001
Bradley,R,Plummer,,Managing Editor,None given,None given,None given,None given,,None given,2001
Jessica,L,Roedenbeck,,Managing Editor,None given,None given,None given,None given,,None given,2001
Charles,,Blem,,Associate Editor,Commonwealth  University,None given,None given,None given,,None given,2001
Janis,L,Dickinson,,Associate Editor,Hasting Reservation,None given,None given,None given,,None given,2001
Patricia,,Escalante,,Associate Editor,UniversidadNacional Autonoma de Mexico,None given,None given,None given,,None given,2001
Thomas,C,Grubb ,Jr,Associate Editor,Ohio State  University,None given,None given,None given,,None given,2001
Shannon,J,Hackett,,Associate Editor,Field Museum of Natural History,None given,None given,None given,,None given,2001
William,L,Hohman,,Associate Editor,Iowa State  University,None given,None given,None given,,None given,2001
William,H,Karasov,,Associate Editor,University of Wisconsin,None given,None given,None given,,None given,2001
Bette,A,Loiselle,,Associate Editor,University of Missouri,None given,None given,None given,,None given,2001
Carl,D,Marti,,Associate Editor,Boise State  University,None given,None given,None given,,None given,2001
Frank,R,Moore,,Associate Editor,University of Southern Mississippi,None given,None given,None given,,None given,2001
Michael,T,Murphy,,Associate Editor,Portland State  University,None given,None given,None given,,None given,2001
Douglas,A,Nelson,,Associate Editor,Ohio State  University,None given,None given,None given,,None given,2001
David ,N,Nettleship,,Associate Editor,Lundy Environmental Consulting,None given,None given,None given,,None given,2001
Abby,N,Powell,,Associate Editor,University of Alaska,None given,None given,None given,,None given,2001
Richard,O,Prum,,Associate Editor,University of Kansas,None given,None given,None given,,None given,2001
Frederick,H,Sheldon,,Associate Editor,Louisiana State  University,None given,None given,None given,,None given,2001
Loren,M,Smith,,Associate Editor,Texas Tech  University,None given,None given,None given,,None given,2001
Frank,R,Thompson,,Associate Editor,North Central Research Station,None given,None given,None given,,None given,2001
Rebecca,L,Holberton,,Book Review Editor,University of Maine,Department of Biological Sciences,Orono,None given,,Maine,2001
Kimberly,G,Smith,,Editor,University of Arkansas,Department of Biological Sciences,Fayetteville,USA,,Arkansas,2002
Bradley ,R,Plummer,,Managing Editor,None given,None given,None given,None given,,None given,2002
Rebecca,M,Braucht,,Editorial Assistant,None given,None given,None given,None given,,None given,2002
Charles,,Blem,,Associate Editor,Commonwealth  University,None given,None given,None given,,None given,2002
