FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,EDITOR_TITLE,INST,UNIT,CITY,COUNTRY,NOTES,STATE,YEAR
Richard,A,Erickson,,Board of Reviewing Editors,LSA Associates,None given,None given,None given,,None given,2013
Lloyd,,Kiff,,In Memoriam Editor,McKendree University,None given,None given,None given,,None given,2015
Ted,,Anderson,,In Memoriam Editor,McKendree University,None given,None given,None given,,None given,2016
Ted,,Anderson,,In Memoriam Editor,McKendree University,None given,None given,None given,,None given,2017
Ted,,Anderson,,In Memoriam Editor,McKendree University,None given,None given,None given,,None given,2018
Jennifer,C,Owen,,Associate Editors,Michigan State University,None given,None given,None given,,None given,2015
Jennifer,C,Owen,,Associate Editors,Michigan State University,None given,None given,None given,,None given,2016
Mark,D,Jankowski,,Associate Editors,Minnesota Pollution Control Agency,None given,None given,None given,,None given,2015
Mark,D,Jankowski,,Associate Editors,Minnesota Pollution Control Agency,None given,None given,None given,,None given,2016
Mark,D,Jankowski,,Associate Editors,Minnesota Pollution Control Agency,None given,None given,None given,,None given,2017
Mark,D,Jankowski,,Associate Editors,Minnesota Pollution Control Agency,None given,None given,None given,,None given,2018
Amy,J,Davis,,Associate Editors,Missouri Department of Conservation,None given,None given,None given,,None given,2014
Susan,,Waugh,,Associate Editors,Museum of New Zealand Te Papa Tongarewa,None given,None given,None given,,None given,2018
Nicole,,Michel,,Associate Editors,National Audubon Society,None given,None given,None given,,None given,2018
Steven,C,Latta,,Editorial Board,National Aviary,None given,None given,None given,,None given,2009
Steven,C,Latta,,Editorial Board,National Aviary,None given,None given,None given,,None given,2010
Steven,C,Latta,,Editorial Board,National Aviary,None given,None given,None given,,None given,2011
Steven,C,Latta,,Board of Reviewing Editors,National Aviary,None given,None given,None given,,None given,2012
Steven,C,Latta,,Board of Reviewing Editors,National Aviary,None given,None given,None given,,None given,2013
Steven,C,Latta,,Associate Editors,National Aviary,None given,None given,None given,,None given,2014
Steven,C,Latta,,Associate Editors,National Aviary,None given,None given,None given,,None given,2015
Steven,C,Latta,,Associate Editors,National Aviary,None given,None given,None given,,None given,2016
Steven,C,Latta,,Associate Editors,National Aviary,None given,None given,None given,,None given,2017
Steven,C,Latta,,Associate Editors,National Aviary,None given,None given,None given,,None given,2018
Nicola,,Koper,,Associate Editors,Natural Resources Institute University of Manitoba,None given,None given,None given,,None given,2017
Nicola,,Koper,,Associate Editors,Natural Resources Institute University of Manitoba,None given,None given,None given,,None given,2018
Peter,,Stettenheim,,Editor ,None given ,None given,None given,None given,,None given,1985
Charles,R,Blem,,Associate Editor,None given ,None given,None given,None given,,None given,1985
Marcy,F,Lawton,,Associate Editor,None given ,None given,None given,None given,,None given,1985
Michael,D,Kern,,Associate Editor,None given ,None given,None given,None given,,None given,1985
James,N,Smith,,Associate Editor,None given ,None given,None given,None given,,None given,1985
Nancy,,Withington,,Assistant Editor,None given ,None given,None given,None given,,None given,1985
Suzanne,,Nothnagle,,Editorial Assistant,None given ,None given,None given,None given,,None given,1985
Martin,L,Morton,,Editor,None given ,None given,None given,None given,,None given,1986
Joanne,,Chandler,,Assistant Editor,None given ,None given,None given,None given,,None given,1986
Jennifer,M,Russell,,Editorial Assistant,None given ,None given,None given,None given,,None given,1986
Sana,,Swe,,Editorial Assistant,None given ,None given,None given,None given,,None given,1986
Marcy,F,Lawton,,Book Review Editor,None given ,None given,None given,None given,,None given,1986
Martin,L,Morton,,Editor,None given ,None given,None given,None given,,None given,1987
Gilian,S,Stephens,,Assistant Editor,None given ,None given,None given,None given,,None given,1987
Marcy,F,Lawton,,Book Review Editor,None given ,None given,None given,None given,,None given,1987
Martin,L,Morton,,Editor,None given ,None given,None given,None given,,None given,1988
Gilian,S,Stephens,,Assistant Editor,None given ,None given,None given,None given,,None given,1988
Marcy,F,Lawton,,Book Review Editor,None given ,None given,None given,None given,,None given,1988
Martin,L,Morton,,Editor,None given ,None given,None given,None given,,None given,1989
Gilian,S,Stephens,,Assistant Editor,None given ,None given,None given,None given,,None given,1989
Marcy,F,Lawton,,Book Review Editor,None given ,None given,None given,None given,,None given,1989
Martin,L,Morton,,Editor,None given ,None given,None given,None given,,None given,1990
Marcy,F,Lawton,,Book Review Editor,None given ,None given,None given,None given,,None given,1990
Gilian,S,Stephens,,Assistant Editor,None given ,None given,None given,None given,,None given,1990
Glenn,E,Walsberg,,Editor,None given ,None given,None given,None given,,None given,1991
Annette,C,Keeler,,Assistant Editor,None given ,None given,None given,None given,,None given,1991
Glenn,E,Walsberg,,Editor,None given ,None given,None given,None given,,None given,1992
Raymond,,Pierotti,,Book Review Editor,None given ,None given,None given,None given,,None given,1992
Annette,C,Keeler,,Managing Editor,None given ,None given,None given,None given,,None given,1992
Pamela,,Heath,,Editorial Assistant,None given ,None given,None given,None given,,None given,1992
Glenn,E,Walsberg,,Editor,None given ,None given,None given,None given,,None given,1993
Christopher,W,Thompson,,Book Review Editor,None given ,None given,None given,None given,,None given,1993
Annette,C,Keeler,,Managing Editor,None given ,None given,None given,None given,,None given,1993
Glenn,E,Walsberg,,Editor,None given ,None given,None given,None given,,None given,1994
Christopher,W,Thompson,,Book Review Editor,None given ,None given,None given,None given,,None given,1994
Annette,C,Keeler,,Managing Editor,None given ,None given,None given,None given,,None given,1994
Sandra,E,Snider,,Editorial Assistant,None given ,None given,None given,None given,,None given,1994
Glenn,E,Walsberg,,Editor,None given ,None given,None given,None given,,None given,1995
Christopher,W,Thompson,,Book Review Editor,None given ,None given,None given,None given,,None given,1995
Annette,C,Keeler,,Managing Editor,None given ,None given,None given,None given,,None given,1995
Sandra,E,Snider,,Editorial Assistant,None given ,None given,None given,None given,,None given,1995
Walter,D,Koenig,,Editor,None given ,None given,None given,None given,,None given,1996
Kimberly,G,Smith,,Book Review Editor,None given ,None given,None given,None given,,None given,1996
David,J,Gubernick,,Managing Editor,None given ,None given,None given,None given,,None given,1996
Christina,J,Slager,,Assistant Editor,None given ,None given,None given,None given,,None given,1996
Rickey,,Wolfe,,Editorial Assistant,None given ,None given,None given,None given,,None given,1996
Walter,D,Koenig,,Editor,None given ,None given,None given,None given,,None given,1997
Kimberly,G,Smith,,Book Review Editor,None given ,None given,None given,None given,,None given,1997
David,J,Gubernick,,Managing Editor,None given ,None given,None given,None given,,None given,1997
Rickey,,Wolfe,,Editorial Assistant,None given ,None given,None given,None given,,None given,1997
Walter,D,Koenig,,Editor,None given ,None given,None given,None given,,None given,1998
Kimberly,G,Smith,,Book Review Editor,None given ,None given,None given,None given,,None given,1998
David,J,Gubernick,,Managing Editor,None given ,None given,None given,None given,,None given,1998
Rickey,,Wolfe,,Editorial Assistant,None given ,None given,None given,None given,,None given,1998
Walter,D,Koenig,,Editor,None given ,None given,None given,None given,,None given,1999
David,J,Gubernick,,Managing Editor,None given ,None given,None given,None given,,None given,1999
Rickey,,Wolfe,,Editorial Assistant,None given ,None given,None given,None given,,None given,1999
Kimberly,G,Smith,,Book Review Editor,None given ,None given,None given,None given,,None given,1999
Laura,,Nagy,,Associate Book Review Editor,None given ,None given,None given,None given,,None given,1999
Mike,,Powers,,Associate Book Review Editor,None given ,None given,None given,None given,,None given,1999
Wayne,,Thogmartin,,Associate Book Review Editor,None given ,None given,None given,None given,,None given,1999
Jeanette,,Bider,,Associate Book Review Editor,None given ,None given,None given,None given,,None given,1999
Don,,Catanzaro,,Associate Book Review Editor,None given ,None given,None given,None given,,None given,1999
Walter,D,Koenig,,Editor,None given ,None given,None given,None given,,None given,2000
David,J,Gubernick,,Managing Editor,None given ,None given,None given,None given,,None given,2000
Rickey,,Wolfe,,Editorial Assistant,None given ,None given,None given,None given,,None given,2000
Kimberly,G,Smith,,Book Review Editor,None given ,None given,None given,None given,,None given,2000
Laura,,Nagy,,Associate Book Review Editor,None given ,None given,None given,None given,,None given,2000
Mike,,Powers,,Associate Book Review Editor,None given ,None given,None given,None given,,None given,2000
Wayne,,Thogmartin,,Associate Book Review Editor,None given ,None given,None given,None given,,None given,2000
Jeanette,,Bider,,Associate Book Review Editor,None given ,None given,None given,None given,,None given,2000
Don,,Catanzaro,,Associate Book Review Editor,None given ,None given,None given,None given,,None given,2000
David,S,Dobkin,,Editor,None given ,None given,None given,None given,,None given,2001
Hugh,D,Powell,,Managing Editor,None given ,None given,None given,None given,,None given,2001
Bethany,G,Atkins,,Editorial Assistant,None given ,None given,None given,None given,,None given,2001
Barbara,,Kus,,Book Review Editor,None given ,None given,None given,None given,,None given,2001
David,S,Dobkin,,Editor,None given ,None given,None given,None given,,None given,2002
Hugh,D,Powell,,Managing Editor,None given ,None given,None given,None given,,None given,2002
Barbara,,Kus,,Book Review Editor,None given ,None given,None given,None given,,None given,2002
Mark,R,Johnson,,Editorial Assistant,None given ,None given,None given,None given,,None given,2002
Lucio,R,Malizia,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2002
Daniel,,Cadena,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2002
Cintia,,Cornelius,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2002
David,S,Dobkin,,Editor,None given ,None given,None given,None given,,None given,2003
Hugh,D,Powell,,Managing Editor,None given ,None given,None given,None given,,None given,2003
Barbara,,Kus,,Book Review Editor,None given ,None given,None given,None given,,None given,2003
Steve,C,Edwards,,Editorial Assistant,None given ,None given,None given,None given,,None given,2003
Cintia,,Cornelius,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2003
Lucio,R,Malizia,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2003
Daniel,,Cadena,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2003
David,S,Dobkin,,Editor,None given ,None given,None given,None given,,None given,2004
Hugh,D,Powell,,Managing Editor,None given ,None given,None given,None given,,None given,2004
Barbara,,Kus,,Book Review Editor,None given ,None given,None given,None given,,None given,2004
Steve,C,Edwards,,Editorial Assistant,None given ,None given,None given,None given,,None given,2004
Cintia,,Cornelius,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2004
Lucio,R,Malizia,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2004
