journal,year,volume,issue,editor_id,first_name,middle_name,last_name,title,category,inst,unit,city,state,country,country_prior_class,geo.code,geo.code_prior_class,gender,notes,inst_CHECK
ecography,1984,7,1,4220,albert,NA,lillehammer,ae,ae,zoological museum,freshwater ecology,oslo,NA,norway,NA,nor,NA,NA,na / na,NA
ecography,1984,7,1,2695,nils,christian,stenseth,ae,ae,university of oslo,division of zoology,oslo,NA,norway,NA,nor,NA,NA,na / na,NA
ecography,1984,7,1,2930,per,NA,sunding,ae,ae,botanical museum,plant ecology,oslo,NA,norway,NA,nor,NA,NA,na / na,NA
ecography,1984,7,1,3239,rolf,NA,vik,eic,eic,zoological museum,NA,oslo,NA,norway,NA,nor,NA,NA,na / na,NA
fem,1984,8,1,1048,folke,NA,andersson,editorial.advisory.board,se,swedish university of agricultural sciences,NA,uppsala,NA,sweden,NA,swe,NA,NA,na / na,NA
fem,1984,8,1,3966,wilfredo,h,barrett,editorial.advisory.board,se,centro de investigaciones y experiencias forestales,NA,buenos aires,NA,argentina,NA,arg,NA,NA,na / na,NA
fem,1984,8,1,626,david,i,bevege,editorial.advisory.board,se,australian international development bureau,NA,beecroft,NA,australia,NA,aus,NA,NA,na / na,NA
fem,1984,8,1,964,e,p,farrell,editorial.advisory.board,se,university college dublin,NA,dublin,NA,ireland,NA,irl,NA,NA,na / na,NA
fem,1984,8,1,711,david,m,griffin,editorial.advisory.board,se,anutech australian national university,NA,canberra,NA,australia,NA,aus,NA,NA,na / na,NA
fem,1984,8,1,4152,hans,h,hattemer,editorial.advisory.board,se,university of gottingen,NA,gottingen,NA,germany,NA,deu,NA,NA,na / na,NA
fem,1984,8,1,3895,j,j,havel,editorial.advisory.board,se,forest department of western australia,NA,h,NA,australia,NA,aus,NA,NA,na / na,NA
fem,1984,8,1,3751,wenyu,NA,hsiung,editorial.advisory.board,se,nanjing forestry university,NA,nanjing,NA,china,NA,chn,NA,NA,na / na,NA
fem,1984,8,1,3383,stanley,l,krugman,editorial.advisory.board,se,usfs southern research station,NA,washington dc,district of columbia,usa,NA,usa,NA,NA,na / na,NA
fem,1984,8,1,1693,joe,j,landsberg,editorial.advisory.board,se,csiro forest research,NA,canberra,NA,australia,NA,aus,NA,NA,na / na,NA
fem,1984,8,1,1695,jean,paul,lanly,editorial.advisory.board,se,fao food and agriculture organization,forest resources division,rome,NA,italy,NA,ita,NA,NA,na / na,NA
fem,1984,8,1,1095,f,t,last,editorial.advisory.board,se,institute of terrestrial ecology,NA,penicuik,NA,united kingdom,NA,gbr,NA,NA,na / na,NA
fem,1984,8,1,311,bjorn,o,lundgren,editorial.advisory.board,se,international center for research in agroforestry,NA,nairobi,NA,kenya,NA,ken,NA,NA,na / na,NA
fem,1984,8,1,4255,peter,john,mckelvey,editorial.advisory.board,se,university of canterbury,school of forestry,christchurch,NA,new zealand,NA,nzl,NA,NA,na / na,NA
fem,1984,8,1,3846,zev,NA,naveh,editorial.advisory.board,se,technion israel institute of technology,agricultural engineering,haifa,NA,israel,NA,isr,NA,NA,na / na,NA
fem,1984,8,1,1113,frank,j,newhook,editorial.advisory.board,se,department of scientific and industrial research,NA,auckland,NA,new zealand,NA,nzl,NA,NA,na / na,NA
fem,1984,8,1,1114,frederick,NA,owino,editorial.advisory.board,se,moi university,forestry and wildlife,nairobi,NA,kenya,NA,ken,NA,NA,na / na,NA
fem,1984,8,1,341,boyd,w,post,editorial.advisory.board,se,usfs northern research station,NA,washington dc,district of columbia,usa,NA,usa,NA,NA,na / na,NA
fem,1984,8,1,4320,l,f,pravdin,editorial.advisory.board,se,science academy of ussr,laboratory of forestry,moscow,NA,russia,NA,ussr,NA,NA,na / na,NA
fem,1984,8,1,4328,m,NA,rapp,editorial.advisory.board,se,cnrs centre decologie fonctionnelle et evolutive,NA,montpellier,NA,france,NA,fra,NA,NA,na / na,NA
fem,1984,8,1,2233,laurence,NA,roche,eic,eic,university college of north west bangor,department of forestry and wood science,bangor,NA,united kingdom,NA,gbr,NA,NA,na / na,NA
fem,1984,8,1,1030,earl,l,stone,editorial.advisory.board,se,university of florida,institute of food and agricultural sciences ifas,gainesville,florida,usa,NA,usa,NA,NA,na / na,NA
fem,1984,8,1,2744,oscar,NA,sziklai,editorial.advisory.board,se,university of british columbia vancouver,NA,vancouver,NA,canada,NA,can,NA,NA,na / na,NA
fem,1984,8,1,1900,john,c,tappeiner,editorial.advisory.board,se,oregon state university,NA,corvallis,oregon,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,2982,ronald,j,berg,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,64,allen,a,elser,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,3742,wendy,l,gabriel,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,2506,mercer,h,patriarche,e,eic,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,3780,william,a,pierce,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,1016,e,p,pister,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,1018,eric,d,prince,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,3451,stephen,g,rideout,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,1858,james,c,schneider,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,3469,steven,l,serns,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,1877,j,gary,smith,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,1915,james,r,triplett,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,917,david,k,whitehurst,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
najfm,1984,4,1,1959,j,larry,wilson,ae,se,NA,NA,NA,NA,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,1387,irvin,c,anderson,se,se,iowa state university,agronomy dept,ames,iowa,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,2978,r,e,barker,se,se,grass genomics testing inc,NA,salem,oregon,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,245,blaine,l,blad,se,se,university of nebraska lincoln,dep. ag. meteorolog,lincoln,nebraska,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,1983,k,j,boote,se,se,university of florida,agronomy dept,gainesville,florida,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,1479,joe,m,bradford,se,se,usda us department of agriculture,ars/sarl cons.& prod.sys,weslaco,texas,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,660,d,green,cummins,ae,ae,university of georgia,agronomy,NA,NA,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,61,allan,r,eaglesham,se,se,cornell university,boyce thompson institute,ithaca,new york,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,678,donald,j,eckert,se,se,ohio state university,school of environment & nat resources,columbus,ohio,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,679,dennis,b,egli,se,se,university of kentucky,dept. of plant and soil science,lexington,kentucky,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,2816,p,h,graham,se,se,university of minnesota twin cities,NA,st paul,minnesota,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,1190,g,NA,guinn,se,se,usda arid land agricultural research center,NA,maricopa,arizona,usa,NA,usa,NA,NA,formerly the western cotton research lab / na,NA
agronomy,1985,77,1,95,ardell,d,halvorson,se,se,usda us department of agriculture,ars,fort collins,colorado,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,2167,l,a,harper,se,se,NA,NA,watkinsville,georgia,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,3085,r,h,hart,se,se,usda us department of agriculture,ars-cmave,gainesville,florida,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,1627,jerry,l,hatfield,ae,ae,usda us department of agriculture,ars natl lab for agric & the environ,ames,iowa,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,1630,j,l,heilman,se,se,texas a and m university,soil & crop science dept.,college station,texas,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,1081,f,m,hons,se,se,texas a and m university,department of crop & soil sciences,college station,texas,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,2414,m,l,hooker,se,se,kansas state university,NA,garden city,kansas,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,3097,r,d,horrocks,se,se,brigham young university,NA,woodland hills,utah,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,3115,r,s,kalmbacher,se,se,university of florida,ona agric'l. research center,ona,florida,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,495,c,cooper,king,se,se,auburn university,botany and plant pathology and microbio,leighton,alabama,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,3759,w,r,kneebone,se,se,university of arizona,college of agriculture,tucson,arizona,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,752,daniel,r,krieg,se,se,texas tech university,NA,lubbock,texas,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,2210,l,e,moser,ae,ae,university of nebraska lincoln,usda,lincoln,nebraska,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,2214,l,a,nelson,se,se,north carolina state university,NA,raleigh,north carolina,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,1788,john,m,norman,se,se,university of wisconsin madison,department of soil science,madison,wisconsin,usa,NA,usa,NA,NA,na / na,NA
agronomy,1985,77,1,1242,g,m,paulsen,se,se,kansas state university,NA,NA,kansas,usa,NA,usa,NA,NA,na / na,NA
