JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,
BIOCON,1988,43,1,1071,F,B,Goldsmith,F B Goldsmith,EB,SE,,,,,UK,GBR,
BIOCON,1988,43,1,2164,Lennart,,Hansson,Lennart Hansson,EB,SE,,,,,Sweden,SWE,
BIOCON,1988,43,1,1626,J,,HARWOOD,J HARWOOD,EB,SE,,,,,UK,GBR,
BIOCON,1988,43,1,2050,K,,MELLANBY,K MELLANBY,EB,SE,,,,,UK,GBR,
BIOCON,1988,43,1,1765,JD,,MIDDLETON,JD MIDDLETON,EB,SE,,,,,Canada,CAN,
BIOCON,1988,43,1,2672,NC,,MORGAN,NC MORGAN,EB,SE,,,,,UK,GBR,
BIOCON,1988,43,1,3614,Tim,R,New,Tim R New,EB,SE,,,,,Australia,AUS,
BIOCON,1988,43,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1988,43,1,3840,Y,,ONO,Y ONO,EB,SE,,,,,Japan,JPN,
BIOCON,1988,43,1,1121,F,,RAMADE,F RAMADE,EB,SE,,,,,France,FRA,
BIOCON,1988,43,1,566,CM,,SCHONEWALD,CM SCHONEWALD,EB,SE,,,,,USA,USA,This should occur in 1989
BIOCON,1988,43,1,3798,WR,,SIEGFRIED,WR SIEGFRIED,EB,SE,,,,,South Africa,ZAF,
BIOCON,1988,43,1,3705,V,,WESTHOFF,V WESTHOFF,EB,SE,,,,,Netherlands,NLD,
BIOCON,1988,43,1,3658,T,C,Whitmore,T C Whitmore,EB,SE,,,,,UK,GBR,
BIOCON,1989,47,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1989,47,1,3832,YONG-LIN,,CHEN,YONG-LIN CHEN,EB,SE,,,,,China,CHN,
