JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,INSTITUTION,CATEGORY,GENDER
AMNAT,2009,,,Editorial Board,Jukka,,Jokela,,Switzerland,EAWAG/ETH-Zurich,SE,male
AMNAT,2009,,,Editorial Board,Susan,,Kalisz,,USA,University of Pittsburgh,SE,female
AMNAT,2009,,,Editorial Board,Matt,J.,Keeling,,England, University of Warwick,SE,male
AMNAT,2009,,,Editorial Board,Ellen,D.,Ketterson,,USA, Indiana University,SE,female
AMNAT,2009,,,Editorial Board,Christopher,A.,Klausmeier,,USA,Michigan State University,SE,male
AMNAT,2009,,,Editorial Board,Martin,J.,Lechowicz,,Canada,McGill University,SE,male
AMNAT,2009,,,Editorial Board,Matt,A,Leibold,,USA,University of Texas-Austin,SE,male
AMNAT,2009,,,Editorial Board,Marc,,Mangel,,USA,University of California-Santa Cruz,SE,male
AMNAT,2009,,,Editorial Board,John,L.,Maron,,USA,University of Montana,SE,male
AMNAT,2009,,,Editorial Board,Justin,,Marshall,,Australia,University of Queensland,SE,male
AMNAT,2009,,,Editorial Board,Yannis,,Michalakis,,France, CNRS-IRI-Montpellier,SE,male
AMNAT,2009,,,Editorial Board,Wolf,M.,Mooij,,Netherlands, Netherlands Institute of Ecology,SE,male
AMNAT,2009,,,Editorial Board,Allen,L.,Moore,,England, University of Manchester,SE,male
AMNAT,2009,,,Editorial Board,Peter,J.,Morin,,USA, Rutgers University,SE,male
AMNAT,2009,,,Editorial Board,Michael,G.,Neubert,,USA, Woods Hole Oceanographic Institute,SE,male
AMNAT,2009,,,Editorial Board,Nipam,H.,Patel,,USA, University of California-Berkeley,SE,male
AMNAT,2009,,,Editorial Board,Tommaso,,Pizzari,,UK, University of Oxford,SE,male
AMNAT,2009,,,Editorial Board,Anna,,Qvarnstrom,,Sweden,University of Uppsala,SE,female
AMNAT,2009,,,Editorial Board,Susanne,S.,Renner,,USA, University of Missouri-St.Louis,SE,female
AMNAT,2009,,,Editorial Board,David,N.,Reznick,,USA, University of California-Riverside,SE,male
AMNAT,2009,,,Editorial Board,Sean,H.,Rice,,USA,Texas Tech University,SE,male
