no,JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,other address,,,,2017 current address,,,
82,JECOL,1991,79,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,NoInst,,,,Canada,CAN,,,,,,,,
83,JECOL,1991,79,1,3851,Andrew,J,Lack,Andrew J Lack,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
84,JECOL,1991,79,1,2869,Peter,D,Moore,Peter D Moore,AE,AE,NoInst,,,,UK,GBR,,,,,,,,
85,JECOL,1991,79,1,1872,Jonathan,,Silvertown,Jonathan Silvertown,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
86,JECOL,1991,79,1,1036,Eddy,,VanDerMeijden,Eddy VanDerMeijden,SE,SE,NoInst,,,,Netherlands,NLD,,,,,,,,
87,JECOL,1991,79,1,3911,James,,White,James White,EIC,EIC,NoInst,,,,Ireland,IRL,,,,,,,,
88,JECOL,1991,79,1,230,Arthur,J,Willis,Arthur J Willis,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
89,JECOL,1991,79,1,1144,F,Ian,Woodward,F Ian Woodward,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
90,JECOL,1992,80,1,2281,Mike,P,Austin,Mike P Austin,SE,SE,NoInst,,Canberra,,Australia,AUS,,,,,,,,
91,JECOL,1992,80,1,2979,Richard,W,Battarbee,Richard W Battarbee,SE,SE,NoInst,,London,,UK,GBR,,,,,,,,
92,JECOL,1992,80,1,644,David,R,Causton,David R Causton,SE,SE,NoInst,,Aberystwyth,,UK,GBR,,,,,,,,
93,JECOL,1992,80,1,1519,John,,Connolly,John Connolly,SE,SE,NoInst,,Dublin,,Ireland,IRL,,,,,,,,
94,JECOL,1992,80,1,2338,M,J,Crawley,M J Crawley,SE,SE,NoInst,,Ascot,,UK,GBR,,,,,,,,
95,JECOL,1992,80,1,2342,M,S,Davies,M S Davies,SE,SE,NoInst,,Cardiff,,UK,GBR,,,,,,,,
96,JECOL,1992,80,1,74,Alastair,H,Fitter,Alastair H Fitter,SE,SE,NoInst,,York,,UK,GBR,,,,,,,,
97,JECOL,1992,80,1,690,David,R,Foster,David R Foster,SE,SE,NoInst,,Petersham,,USA,USA,,,,,,,,
98,JECOL,1992,80,1,703,David,J,Gibson,David J Gibson,SE,SE,NoInst,,Pensacola,,USA,USA,,,,,,,,
99,JECOL,1992,80,1,89,Alan,J,Gray,Alan J Gray,SE,SE,NoInst,,Wareham,,UK,GBR,,,,,,,,
100,JECOL,1992,80,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,Brighton,,UK,GBR,,,,,,,,
101,JECOL,1992,80,1,1210,George,L,Jacobson,George L Jacobson,SE,SE,NoInst,,Orono,,USA,USA,,,,,,,,
102,JECOL,1992,80,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,NoInst,,Toronto,,Canada,CAN,,,,,,,,
103,JECOL,1992,80,1,3851,Andrew,J,Lack,Andrew J Lack,SE,SE,NoInst,,Oxford,,UK,GBR,,,,,,,,
104,JECOL,1992,80,1,1704,John,A,Lee,John A Lee,SE,SE,NoInst,,Manchester,,UK,GBR,,,,,,,,
105,JECOL,1992,80,1,1872,Jonathan,,Silvertown,Jonathan Silvertown,SE,SE,NoInst,,Milton Keynes,,UK,GBR,,,,,,,,
106,JECOL,1992,80,1,3234,Roy,,Turkington,Roy Turkington,SE,SE,NoInst,,Vancouver,,Canada,CAN,,,,,,,,
107,JECOL,1992,80,1,1036,Eddy,,VanDerMeijden,Eddy VanDerMeijden,SE,SE,NoInst,,Leiden,,Netherlands,NLD,,,,,,,,
108,JECOL,1992,80,1,1924,Jan,,VanGroenendael,Jan VanGroenendael,SE,SE,NoInst,,Wageningen,,Netherlands,NLD,,,,,,,,
109,JECOL,1992,80,1,3911,James,,White,James White,EIC,EIC,University of College,Department of Botany,Dublin,,Ireland,IRL,,,,,,,,
110,JECOL,1992,80,1,1144,F,Ian,Woodward,F Ian Woodward,SE,SE,NoInst,,Sheffield,,UK,GBR,,,,,,,,
111,JECOL,1993,81,1,2281,Mike,P,Austin,Mike P Austin,SE,SE,NoInst,,Canberra,,Australia,AUS,,,,,,,,
112,JECOL,1993,81,1,2979,Richard,W,Battarbee,Richard W Battarbee,SE,SE,NoInst,,London,,UK,GBR,,,,,,,,
