,journal,year,volume,issue,editor_id.x,editor_id.y,first_name,middle_name,last_name,title,category,inst,unit,city,state,country,country_prior_class,geo.code,geo.code_prior_class,gender,notes
105,OECOL,2009,158,4,2504,NA,Meelis,NA,Partel,Handling.Editor,SE,University of Tartu,missing,Tartu,missing,Estonia,NA,EST,NA,NA,DOUBLE CHECK INST
3,OECOL,2010,162,1,1148,NA,Gerardo,NA,Avalos,Handling.Editor,SE,University of Costa Rica,missing,San Pedro,missing,Costa Rica,NA,CRI,NA,NA,DOUBLE CHECK INST
32,OECOL,2010,162,1,2716,NA,Oyvind,NA,Fiksen,Handling.Editor,SE,University of Bergen,missing,Bergen,missing,Norway,NA,NOR,NA,NA,DOUBLE CHECK INST
71,OECOL,2010,162,1,1404,NA,Ilpo,NA,Kojola,Handling.Editor,SE,Oulu Game & Fisheries Res,missing,Oulu,missing,Finland,NA,FIN,NA,NA,DOUBLE CHECK INST
74,OECOL,2010,162,1,2851,NA,Pawel,NA,Koteja,Handling.Editor,SE,Jagiellonian University,missing,Krakow,missing,Poland,NA,POL,NA,NA,DOUBLE CHECK INST
83,OECOL,2010,162,1,992,NA,Esa,NA,Lehikoinen,Handling.Editor,SE,University of Turku,missing,Turku,missing,Finland,NA,FIN,NA,NA,DOUBLE CHECK INST
91,OECOL,2010,162,1,2460,NA,Michael,NA,Madritch,Handling.Editor,SE,Appalachian State University,missing,Boone,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
99,OECOL,2010,162,1,2730,NA,Ola,NA,Olsson,Handling.Editor,SE,Lund University,missing,Lund,missing,Sweden,NA,SWE,NA,NA,DOUBLE CHECK INST
129,OECOL,2010,162,1,1866,NA,Jonathan,NA,Shurin,Handling.Editor,SE,University of British Columbia,missing,Vancouver,missing,Canada,NA,CAN,NA,NA,DOUBLE CHECK INST
1,OECOL,2011,165,1,1434,NA,Jon,NA,Agren,Handling.Editor,SE,Uppsala University,missing,Uppsala,missing,Sweden,NA,SWE,NA,NA,DOUBLE CHECK INST
6,OECOL,2011,165,1,2124,NA,Leon,NA,Barmuta,Handling.Editor,SE,University of Tasmania,missing,Tas,missing,Australia,NA,AUS,NA,NA,DOUBLE CHECK INST
21,OECOL,2011,165,1,3723,NA,Walter,NA,Carson,Handling.Editor,SE,University of Pittsburgh,missing,Pittsburgh,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
22,OECOL,2011,165,1,1502,NA,Jerome,NA,Casas,Handling.Editor,SE,University of Tours,missing,Tours,missing,France,NA,FRA,NA,NA,DOUBLE CHECK INST
28,OECOL,2011,165,1,1174,NA,Goran,NA,Ericsson,Handling.Editor,SE,Swedish University of Agricultural Sciences,missing,Umea,missing,Sweden,NA,SWE,NA,NA,DOUBLE CHECK INST
34,OECOL,2011,165,1,2003,NA,Klaus,NA,Fischer,Handling.Editor,SE,Ernst Moritz Arndt University Greifswald,missing,Greifswald,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
