,journal,year,editor_id,first_na,middle_,last_na,inst,unit,city,state,country,notes
400,JAPE,1999,3766,W,M,Lonsdale,CSIRO ,unknown,Canberra,unknown,Australia,
495,JAPE,2007,3772,William,NA,Montevecchi,Memorial University of Newfoundland,unknown,Newfoundland,unknown,Canada,
496,JAPE,2008,3772,William,NA,Montevecchi,,,,,,
497,JAPE,2009,3772,William,NA,Montevecchi,,,,,,
494,JAPE,2010,3772,William,NA,Montevecchi,,,,,,
498,JAPE,2011,3772,William,NA,Montevecchi,,,,,,
499,JAPE,2012,3772,William,NA,Montevecchi,,,,,,
94,JAPE,2005,3829,Yvonne,NA,Buckley,University of Queensland,unknown,Brisbane,unknown,Australia,
95,JAPE,2006,3829,Yvonne,NA,Buckley,,unknown,,,,
96,JAPE,2007,3829,Yvonne,NA,Buckley,,unknown,,,,
97,JAPE,2008,3829,Yvonne,NA,Buckley,,unknown,,,,
98,JAPE,2009,3829,Yvonne,NA,Buckley,,unknown,,,,
99,JAPE,2011,3829,Yvonne,NA,Buckley,,unknown,,,,
100,JAPE,2012,3829,Yvonne,NA,Buckley,,unknown,,,,
101,JAPE,2013,3829,Yvonne,NA,Buckley,,unknown,,,,
93,JECOL,2014,3829,Yvonne,NA,Buckley,unknown,unknown,unknown,unknown,NA,NOT IN THE DOC
135,JAPE,2008,3833,Yann,NA,Clough,Gottingen University ,unknown,Gottingen,unknown,Germany,
136,JAPE,2009,3833,Yann,NA,Clough,,,,,,
134,JAPE,2010,3833,Yann,NA,Clough,,,,,,
137,JAPE,2011,3833,Yann,NA,Clough,,,,,,
138,JAPE,2012,3833,Yann,NA,Clough,,,,,,
139,JAPE,2013,3833,Yann,NA,Clough,,,,,,
140,JAPE,2014,3833,Yann,NA,Clough,,,,,,
133,JAPE,2015,3833,Yann,NA,Clough,CEC ,unknown,Lund,unknown,Sweden,
34,JAPE,2002,3881,Jacques,NA,Baudry,INRA,unknown,Rennes,unknown,France,
35,JAPE,2003,3881,Jacques,NA,Baudry,,,,,,
36,JAPE,2004,3881,Jacques,NA,Baudry,,,,,,
37,JAPE,2005,3881,Jacques,NA,Baudry,,,,,,
38,JAPE,2006,3881,Jacques,NA,Baudry,,,,,,
50,JAPE,2014,3882,Joseph,NA,Bennett,University of Queensland,unknown,Brisbane,unknown,Australia,
51,JAPE,2015,3882,Joseph,NA,Bennett,,,,,,
423,JAPE,2001,3898,Jon,NA,Marshall,University of Bristol,Department of Agricultural Sciences ,Bristol,unknown,United Kingdom,
422,JAPE,2002,3898,Jon,NA,Marshall,Marshall Agroecology,unknown,Somerset,,,
424,JAPE,2003,3898,Jon,NA,Marshall,,unknown,,,,
425,JAPE,2004,3898,Jon,NA,Marshall,,unknown,,,,
790,JAPE,2002,3914,Jeremy,NA,Wilson,Royal Society for the Protection of Birds,unknown,Edinburgh,unknown,United Kingdom,
791,JAPE,2003,3914,Jeremy,NA,Wilson,,unknown,,,,
792,JAPE,2004,3914,Jeremy,NA,Wilson,,unknown,,,,
793,JAPE,2005,3914,Jeremy,NA,Wilson,,unknown,,,,
794,JAPE,2006,3914,Jeremy,NA,Wilson,,unknown,,,,
795,JAPE,2007,3914,Jeremy,NA,Wilson,,unknown,,,,
789,JAPE,2010,3914,Jeremy,NA,Wilson,,unknown,,,,
796,JAPE,2011,3914,Jeremy,NA,Wilson,,unknown,,,,
797,JAPE,2012,3914,Jeremy,NA,Wilson,,unknown,,,,
798,JAPE,2013,3914,Jeremy,NA,Wilson,,unknown,,,,
799,JAPE,2014,3914,Jeremy,NA,Wilson,,unknown,,,,
800,JAPE,2015,3914,Jeremy,NA,Wilson,,unknown,,,,
246,JAPE,2013,3930,Richard,NA,Fuller,University of Queensland,unknown,Brisbane,unknown,Australia,
247,JAPE,2014,3930,Richard,NA,Fuller,,unknown,,,,
248,JAPE,2015,3930,Richard,NA,Fuller,,unknown,,,,
