,journal,year,editor_id,first_na,middle_,last_na,inst,unit,city,state,country,notes
441,JAPE,2013,1339,Hamish,NA,McCallum,Griffith University ,unknown,unknown,South East Queensland,Australia,
442,JAPE,2014,1339,Hamish,NA,McCallum,,,,,,
443,JAPE,2015,1339,Hamish,NA,McCallum,,,,,,
694,JAPE,1989,1368,Henry,NA,Thomas,unknown,unknown,unknown,unknown,United Kingdom,
695,JAPE,1990,1368,Henry,NA,Thomas,,unknown,unknown,,,
696,JAPE,1991,1368,Henry,NA,Thomas,,unknown,unknown,,,
697,JAPE,1992,1368,Henry,NA,Thomas,,unknown,Aberystwyth,,,
698,JAPE,1993,1368,Henry,NA,Thomas,,unknown,,,,
699,JAPE,1994,1368,Henry,NA,Thomas,,unknown,,,,
700,JAPE,1995,1368,Henry,NA,Thomas,,unknown,,,,
701,JAPE,1996,1368,Henry,NA,Thomas,,unknown,,,,
702,JAPE,1997,1368,Henry,NA,Thomas,,unknown,,,,
362,JAPE,2014,1403,Ian,NA,Kaplan,Purdue University,unknown,West Lafayette,Indiana,USA,
363,JAPE,2015,1403,Ian,NA,Kaplan,,unknown,,,,
646,JAPE,1988,1420,Ian,F,Spellerberg,University of Southampton,unknown,Southampton,unknown,United Kingdom,
647,JAPE,1989,1420,Ian,F,Spellerberg,,unknown,,,,
648,JAPE,1990,1420,Ian,F,Spellerberg,,unknown,,,,
649,JAPE,1991,1420,Ian,F,Spellerberg,,unknown,,,,
650,JAPE,1992,1420,Ian,F,Spellerberg,,unknown,,,,
651,JAPE,1993,1420,Ian,F,Spellerberg,,unknown,,,,
652,JAPE,1994,1420,Ian,F,Spellerberg,Lincoln College,unknown,Canterbury,,New Zealand,
653,JAPE,1995,1420,Ian,F,Spellerberg,,unknown,,,,
654,JAPE,1996,1420,Ian,F,Spellerberg,,unknown,,,,
670,JAPE,2006,1421,Ingolf,NA,Steffan-Dewenter,University of Gottingen,unknown,Gottingen,unknown,Germany,
671,JAPE,2007,1421,Ingolf,NA,Steffan-Dewenter,,unknown,,,,
672,JAPE,2008,1421,Ingolf,NA,Steffan-Dewenter,,unknown,,,,
673,JAPE,2009,1421,Ingolf,NA,Steffan-Dewenter,University of Bayreuth,unknown,Bayreuth,,,
668,JAPE,2010,1421,Ingolf,NA,Steffan-Dewenter,,unknown,,,,
674,JAPE,2011,1421,Ingolf,NA,Steffan-Dewenter,,unknown,,,,
675,JAPE,2012,1421,Ingolf,NA,Steffan-Dewenter,,unknown,,,,
669,JAPE,2013,1421,Ingolf,NA,Steffan-Dewenter,University of Wurzburg,unknown,Wurzburg,,,
676,JAPE,2014,1421,Ingolf,NA,Steffan-Dewenter,,unknown,,,,
23,JAPE,2008,1452,Jos,NA,Barlow,Lancaster University,unknown,Lancaster,unknown,United Kingdom,
24,JAPE,2009,1452,Jos,NA,Barlow,,unknown,,,,
22,JAPE,2010,1452,Jos,NA,Barlow,,unknown,,,,
25,JAPE,2011,1452,Jos,NA,Barlow,,unknown,,,,
26,JAPE,2012,1452,Jos,NA,Barlow,,unknown,,,,
27,JAPE,2013,1452,Jos,NA,Barlow,,unknown,,,,
28,JAPE,2014,1452,Jos,NA,Barlow,,unknown,,,,
29,JAPE,2015,1452,Jos,NA,Barlow,,unknown,,,,
64,JAPE,2013,1470,Julia,NA,Blanchard,University of Sheffield ,unknown,Sheffield,unknown,United Kingdom,
65,JAPE,2014,1470,Julia,NA,Blanchard,,unknown,,,,
66,JAPE,2015,1470,Julia,NA,Blanchard,,unknown,,,,
108,JAPE,2000,1490,James,M,Bullock,,unknown,Furzebrook,unknown,United Kingdom,
109,JAPE,2001,1490,James,M,Bullock,,unknown,,,,
110,JAPE,2002,1490,James,M,Bullock,,unknown,,,,
111,JAPE,2003,1490,James,M,Bullock,,unknown,,,,
112,JAPE,2007,1494,Javier,NA,Bustamante,CSIC,unknown,Seville,unknown,Spain,
113,JAPE,2008,1494,Javier,NA,Bustamante,,unknown,,,,
114,JAPE,2009,1494,Javier,NA,Bustamante,,unknown,,,,
141,JAPE,1985,1521,J,P,Cooper,unknown,unknown,unknown,unknown,United Kingdom,
142,JAPE,1986,1521,J,P,Cooper,,unknown,unknown,,,
143,JAPE,1987,1521,J,P,Cooper,,unknown,unknown,,,
146,JAPE,2006,1522,Joan,NA,Cossentine,Agriculture and Agri-Food,unknown,Summerland,unknown,Canada,
147,JAPE,2007,1522,Joan,NA,Cossentine,,unknown,,,,
144,JAPE,2008,1522,Joan,NA,Cossentine,,unknown,,,,
148,JAPE,2009,1522,Joan,NA,Cossentine,,unknown,,,,
145,JAPE,2010,1522,Joan,NA,Cossentine,Pacific Agri-Food Research Centre,unknown,,,,
149,JAPE,2011,1522,Joan,NA,Cossentine,,unknown,,,,
150,JAPE,2012,1522,Joan,NA,Cossentine,,unknown,,,,
155,JAPE,1985,1531,John,Patrick,Croxall,Natural Environment Research Council ,unknown,Cambridge,unknown,United Kingdom,
156,JAPE,1986,1531,John,Patrick,Croxall,,unknown,,,,
157,JAPE,1987,1531,John,Patrick,Croxall,,unknown,,,,
158,JAPE,1988,1531,John,Patrick,Croxall,,unknown,,,,
159,JAPE,1989,1531,John,Patrick,Croxall,,unknown,,,,
160,JAPE,1990,1531,John,Patrick,Croxall,,unknown,,,,
161,JAPE,1991,1531,John,Patrick,Croxall,,unknown,,,,
162,JAPE,1992,1531,John,Patrick,Croxall,,unknown,,,,
163,JAPE,1993,1531,John,Patrick,Croxall,,unknown,,,,
164,JAPE,1994,1531,John,Patrick,Croxall,,unknown,,,,
165,JAPE,1995,1531,John,Patrick,Croxall,,unknown,,,,
201,JAPE,2014,1572,John,NA,Finn,Teagasc,unknown,Johnstown Castle,Wexford,Ireland,
202,JAPE,2015,1572,John,NA,Finn,,unknown,,,,
209,JAPE,2010,1573,Jennifer,NA,Firn,CISRO Sustainable Ecosystems,unknown,St Lucia,unknown,Australia,
211,JAPE,2011,1573,Jennifer,NA,Firn,,unknown,,,,
212,JAPE,2012,1573,Jennifer,NA,Firn,,unknown,,,,
213,JAPE,2013,1573,Jennifer,NA,Firn,,unknown,,,,
214,JAPE,2014,1573,Jennifer,NA,Firn,,unknown,,,,
215,JAPE,2015,1573,Jennifer,NA,Firn,,unknown,,,,
216,JAPE,2013,1578,Jacqui,NA,Frair,State University of New York,unknown,Syracuse,New York,USA,
217,JAPE,2014,1578,Jacqui,NA,Frair,,unknown,,,,
218,JAPE,2015,1578,Jacqui,NA,Frair,,unknown,,,,
250,JAPE,2005,1597,Jennifer,NA,Gill,University of East Anglia,unknown,Norwich,unknown,United Kingdom,
251,JAPE,2006,1597,Jennifer,NA,Gill,,unknown,,,,
252,JAPE,2007,1597,Jennifer,NA,Gill,,unknown,,,,
253,JAPE,2008,1597,Jennifer,NA,Gill,,unknown,,,,
254,JAPE,2009,1597,Jennifer,NA,Gill,,unknown,,,,
249,JAPE,2010,1597,Jennifer,NA,Gill,,unknown,,,,
255,JAPE,2011,1597,Jennifer,NA,Gill,,unknown,,,,
256,JAPE,2012,1597,Jennifer,NA,Gill,,unknown,,,,
356,JAPE,2008,1659,Julia,NA,Jones,University of Bangor,unknown,Bangor,unknown,United Kingdom,
357,JAPE,2009,1659,Julia,NA,Jones,,unknown,,,,
354,JAPE,2010,1659,Julia,NA,Jones,,unknown,,,,
358,JAPE,2011,1659,Julia,NA,Jones,,unknown,,,,
359,JAPE,2013,1659,Julia,NA,Jones,,unknown,,,,
360,JAPE,2014,1659,Julia,NA,Jones,,unknown,,,,
361,JAPE,2015,1659,Julia,NA,Jones,,unknown,,,,
381,JAPE,2006,1708,Jack,J,Lennon,Macaulay Institute,unknown,Aberdeen,unknown,United Kingdom,
382,JAPE,2007,1708,Jack,J,Lennon,,,,,,
383,JAPE,2008,1708,Jack,J,Lennon,,,,,,
384,JAPE,2009,1708,Jack,J,Lennon,,,,,,
380,JAPE,2010,1708,Jack,J,Lennon,,,,,,
385,JAPE,2011,1708,Jack,J,Lennon,,,,,,
387,JAPE,2006,1709,Jan,NA,Leps,University of South Bohemia,unknown,Ceske Budejovice,unknown,Czech Republic,
388,JAPE,2007,1709,Jan,NA,Leps,,unknown,,,,
389,JAPE,2008,1709,Jan,NA,Leps,,unknown,,,,
390,JAPE,2009,1709,Jan,NA,Leps,,unknown,,,,
386,JAPE,2010,1709,Jan,NA,Leps,,unknown,,,,
391,JAPE,2011,1709,Jan,NA,Leps,,unknown,,,,
392,JAPE,2012,1709,Jan,NA,Leps,,unknown,,,,
435,JAPE,2008,1748,Jason,NA,Matthiopoulos,University of St. Andrews,unknown,St. Andrews,unknown,United Kingdom,
436,JAPE,2009,1748,Jason,NA,Matthiopoulos,,unknown,,,,
434,JAPE,2010,1748,Jason,NA,Matthiopoulos,,unknown,,,,
437,JAPE,2011,1748,Jason,NA,Matthiopoulos,,unknown,,,,
438,JAPE,2012,1748,Jason,NA,Matthiopoulos,,unknown,,,,
439,JAPE,2013,1748,Jason,NA,Matthiopoulos,,unknown,,,,
440,JAPE,2014,1748,Jason,NA,Matthiopoulos,GLASGOW U,unknown,Glasgow,Scotland,United Kingdom,
467,JAPE,2009,1757,Jane,NA,Memmott,University of Bristol,unknown,Bristol,unknown,United Kingdom,
468,JAPE,2010,1757,Jane,NA,Memmott,,,,,,
469,JAPE,2011,1757,Jane,NA,Memmott,,,,,,
470,JAPE,1988,1767,John,NA,Miles,unknown,unknown,unknown,unknown,United Kingdom,
471,JAPE,1989,1767,John,NA,Miles,,,,,,
472,JAPE,1990,1767,John,NA,Miles,,,,,,
473,JAPE,1991,1767,John,NA,Miles,,,,,,
488,JAPE,2013,1770,Jeroen,NA,Minderm,University of Stirling,,Stirling,unknown,United Kingdom,
489,JAPE,2014,1770,Jeroen,NA,Minderman,,,,,,
490,JAPE,2015,1770,Jeroen,NA,Minderman,,,,,,
491,JAPE,1985,1773,John,Lennox,Monteith,unknown,unknown,unknown,unknown,United Kingdom,
492,JAPE,1986,1773,John,Lennox,Monteith,,,,,,
493,JAPE,1987,1773,John,Lennox,Monteith,,,,,,
525,JAPE,2010,1793,Juliet,NA,Osborne,Rothamsted Research,unknown,West Common,Harpenden,United Kingdom,
526,JAPE,2011,1793,Juliet,NA,Osborne,,unknown,,,,
527,JAPE,2012,1793,Juliet,NA,Osborne,,unknown,,,,
528,JAPE,2013,1793,Juliet,NA,Osborne,,unknown,,,,
529,JAPE,2014,1793,Juliet,NA,Osborne,,unknown,,,,
572,JAPE,2008,1831,Jonathan,NA,Rhodes,University of Queensland,unknown,Brisbane,Queensland,Australia,
573,JAPE,2009,1831,Jonathan,NA,Rhodes,,unknown,,,,
571,JAPE,2010,1831,Jonathan,NA,Rhodes,,unknown,,,,
574,JAPE,2011,1831,Jonathan,NA,Rhodes,,unknown,,,,
575,JAPE,2012,1831,Jonathan,NA,Rhodes,,unknown,,,,
576,JAPE,2013,1831,Jonathan,NA,Rhodes,,unknown,,,,
